Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
ITE00100554,68,22,90,,,,,,45.4717,9.1892
17710205,76,30,106,,,,,,#N/A,#N/A
ITE00100554,76,30,106,,,,,,45.4717,9.1892
17710206,57,19,76,,,,,,#N/A,#N/A
ITE00100554,57,19,76,,,,,,45.4717,9.1892
17710207,26,-6,20,,,,,,#N/A,#N/A
ITE00100554,26,-6,20,,,,,,45.4717,9.1892
17710208,24,-24,0,,,,,,#N/A,#N/A
ITE00100554,24,-24,0,,,,,,45.4717,9.1892
17710209,19,-3,16,,,,,,#N/A,#N/A
ITE00100554,19,-3,16,,,,,,45.4717,9.1892
17710210,20,-2,18,,,,,,#N/A,#N/A
ITE00100554,20,-2,18,,,,,,45.4717,9.1892
17710211,35,1,36,,,,,,#N/A,#N/A
ITE00100554,35,1,36,,,,,,45.4717,9.1892
17710212,12,-12,0,,,,,,#N/A,#N/A
ITE00100554,12,-12,0,,,,,,45.4717,9.1892
17710213,-2,-54,-56,,,,,,#N/A,#N/A
ITE00100554,-2,-54,-56,,,,,,45.4717,9.1892
17710214,32,-2,30,,,,,,#N/A,#N/A
ITE00100554,32,-2,30,,,,,,45.4717,9.1892
17710215,28,4,32,,,,,,#N/A,#N/A
ITE00100554,28,4,32,,,,,,45.4717,9.1892
17710216,29,-13,16,,,,,,#N/A,#N/A
ITE00100554,29,-13,16,,,,,,45.4717,9.1892
17710217,36,-18,18,,,,,,#N/A,#N/A
ITE00100554,36,-18,18,,,,,,45.4717,9.1892
17710218,53,-1,52,,,,,,#N/A,#N/A
ITE00100554,53,-1,52,,,,,,45.4717,9.1892
17710219,36,-18,18,,,,,,#N/A,#N/A
ITE00100554,36,-18,18,,,,,,45.4717,9.1892
17710220,61,7,68,,,,,,#N/A,#N/A
ITE00100554,61,7,68,,,,,,45.4717,9.1892
17710221,69,13,82,,,,,,#N/A,#N/A
ITE00100554,69,13,82,,,,,,45.4717,9.1892
17710222,59,3,62,,,,,,#N/A,#N/A
ITE00100554,59,3,62,,,,,,45.4717,9.1892
17710223,73,35,108,,,,,,#N/A,#N/A
ITE00100554,73,35,108,,,,,,45.4717,9.1892
17710224,83,37,120,,,,,,#N/A,#N/A
ITE00100554,83,37,120,,,,,,45.4717,9.1892
17710225,64,26,90,,,,,,#N/A,#N/A
ITE00100554,64,26,90,,,,,,45.4717,9.1892
17710226,63,25,88,,,,,,#N/A,#N/A
ITE00100554,63,25,88,,,,,,45.4717,9.1892
17710227,68,10,78,,,,,,#N/A,#N/A
ITE00100554,68,10,78,,,,,,45.4717,9.1892
17710228,80,32,112,,,,,,#N/A,#N/A
ITE00100554,80,32,112,,,,,,45.4717,9.1892
17710301,68,28,96,,,,,,#N/A,#N/A
ITE00100554,68,28,96,,,,,,45.4717,9.1892
17710302,82,34,116,,,,,,#N/A,#N/A
ITE00100554,82,34,116,,,,,,45.4717,9.1892
17710303,81,31,112,,,,,,#N/A,#N/A
ITE00100554,81,31,112,,,,,,45.4717,9.1892
17710304,85,45,130,,,,,,#N/A,#N/A
ITE00100554,85,45,130,,,,,,45.4717,9.1892
17710305,80,52,132,,,,,,#N/A,#N/A
ITE00100554,80,52,132,,,,,,45.4717,9.1892
17710306,73,45,118,,,,,,#N/A,#N/A
ITE00100554,73,45,118,,,,,,45.4717,9.1892
17710307,78,50,128,,,,,,#N/A,#N/A
ITE00100554,78,50,128,,,,,,45.4717,9.1892
17710308,90,48,138,,,,,,#N/A,#N/A
ITE00100554,90,48,138,,,,,,45.4717,9.1892
17710309,91,41,132,,,,,,#N/A,#N/A
ITE00100554,91,41,132,,,,,,45.4717,9.1892
17710310,71,29,100,,,,,,#N/A,#N/A
ITE00100554,71,29,100,,,,,,45.4717,9.1892
17710311,97,55,152,,,,,,#N/A,#N/A
ITE00100554,97,55,152,,,,,,45.4717,9.1892
17710312,107,43,150,,,,,,#N/A,#N/A
ITE00100554,107,43,150,,,,,,45.4717,9.1892
17710313,89,47,136,,,,,,#N/A,#N/A
ITE00100554,89,47,136,,,,,,45.4717,9.1892
17710314,134,92,226,,,,,,#N/A,#N/A
ITE00100554,134,92,226,,,,,,45.4717,9.1892
17710315,135,91,226,,,,,,#N/A,#N/A
ITE00100554,135,91,226,,,,,,45.4717,9.1892
17710316,135,71,206,,,,,,#N/A,#N/A
ITE00100554,135,71,206,,,,,,45.4717,9.1892
17710317,141,97,238,,,,,,#N/A,#N/A
ITE00100554,141,97,238,,,,,,45.4717,9.1892
17710318,135,91,226,,,,,,#N/A,#N/A
ITE00100554,135,91,226,,,,,,45.4717,9.1892
17710319,137,93,230,,,,,,#N/A,#N/A
ITE00100554,137,93,230,,,,,,45.4717,9.1892
17710320,123,69,192,,,,,,#N/A,#N/A
ITE00100554,123,69,192,,,,,,45.4717,9.1892
17710321,121,67,188,,,,,,#N/A,#N/A
ITE00100554,121,67,188,,,,,,45.4717,9.1892
17710322,128,74,202,,,,,,#N/A,#N/A
ITE00100554,128,74,202,,,,,,45.4717,9.1892
17710323,74,44,118,,,,,,#N/A,#N/A
ITE00100554,74,44,118,,,,,,45.4717,9.1892
17710324,41,-3,38,,,,,,#N/A,#N/A
ITE00100554,41,-3,38,,,,,,45.4717,9.1892
17710325,47,3,50,,,,,,#N/A,#N/A
ITE00100554,47,3,50,,,,,,45.4717,9.1892
17710326,42,-24,18,,,,,,#N/A,#N/A
ITE00100554,42,-24,18,,,,,,45.4717,9.1892
17710327,71,5,76,,,,,,#N/A,#N/A
ITE00100554,71,5,76,,,,,,45.4717,9.1892
17710328,96,30,126,,,,,,#N/A,#N/A
ITE00100554,96,30,126,,,,,,45.4717,9.1892
17710329,106,62,168,,,,,,#N/A,#N/A
ITE00100554,106,62,168,,,,,,45.4717,9.1892
17710330,107,61,168,,,,,,#N/A,#N/A
ITE00100554,107,61,168,,,,,,45.4717,9.1892
17710331,102,48,150,,,,,,#N/A,#N/A
ITE00100554,102,48,150,,,,,,45.4717,9.1892
17710401,97,43,140,,,,,,#N/A,#N/A
ITE00100554,97,43,140,,,,,,45.4717,9.1892
17710402,89,43,132,,,,,,#N/A,#N/A
ITE00100554,89,43,132,,,,,,45.4717,9.1892
17710403,83,29,112,,,,,,#N/A,#N/A
ITE00100554,83,29,112,,,,,,45.4717,9.1892
17710404,100,32,132,,,,,,#N/A,#N/A
ITE00100554,100,32,132,,,,,,45.4717,9.1892
17710405,109,41,150,,,,,,#N/A,#N/A
ITE00100554,109,41,150,,,,,,45.4717,9.1892
17710406,122,54,176,,,,,,#N/A,#N/A
ITE00100554,122,54,176,,,,,,45.4717,9.1892
17710407,134,78,212,,,,,,#N/A,#N/A
ITE00100554,134,78,212,,,,,,45.4717,9.1892
17710408,132,76,208,,,,,,#N/A,#N/A
ITE00100554,132,76,208,,,,,,45.4717,9.1892
17710409,140,72,212,,,,,,#N/A,#N/A
ITE00100554,140,72,212,,,,,,45.4717,9.1892
17710410,141,85,226,,,,,,#N/A,#N/A
ITE00100554,141,85,226,,,,,,45.4717,9.1892
17710411,149,81,230,,,,,,#N/A,#N/A
ITE00100554,149,81,230,,,,,,45.4717,9.1892
17710412,172,104,276,,,,,,#N/A,#N/A
ITE00100554,172,104,276,,,,,,45.4717,9.1892
17710413,149,93,242,,,,,,#N/A,#N/A
ITE00100554,149,93,242,,,,,,45.4717,9.1892
17710414,159,103,262,,,,,,#N/A,#N/A
ITE00100554,159,103,262,,,,,,45.4717,9.1892
17710415,136,90,226,,,,,,#N/A,#N/A
ITE00100554,136,90,226,,,,,,45.4717,9.1892
17710416,154,108,262,,,,,,#N/A,#N/A
ITE00100554,154,108,262,,,,,,45.4717,9.1892
17710417,126,94,220,,,,,,#N/A,#N/A
ITE00100554,126,94,220,,,,,,45.4717,9.1892
17710418,115,83,198,,,,,,#N/A,#N/A
ITE00100554,115,83,198,,,,,,45.4717,9.1892
17710419,94,62,156,,,,,,#N/A,#N/A
ITE00100554,94,62,156,,,,,,45.4717,9.1892
17710420,122,54,176,,,,,,#N/A,#N/A
ITE00100554,122,54,176,,,,,,45.4717,9.1892
17710421,116,60,176,,,,,,#N/A,#N/A
ITE00100554,116,60,176,,,,,,45.4717,9.1892
17710422,131,75,206,,,,,,#N/A,#N/A
ITE00100554,131,75,206,,,,,,45.4717,9.1892
17710423,154,98,252,,,,,,#N/A,#N/A
ITE00100554,154,98,252,,,,,,45.4717,9.1892
17710424,150,118,268,,,,,,#N/A,#N/A
ITE00100554,150,118,268,,,,,,45.4717,9.1892
17710425,147,115,262,,,,,,#N/A,#N/A
ITE00100554,147,115,262,,,,,,45.4717,9.1892
17710426,174,106,280,,,,,,#N/A,#N/A
ITE00100554,174,106,280,,,,,,45.4717,9.1892
17710427,165,97,262,,,,,,#N/A,#N/A
ITE00100554,165,97,262,,,,,,45.4717,9.1892
17710428,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17710429,166,134,300,,,,,,#N/A,#N/A
ITE00100554,166,134,300,,,,,,45.4717,9.1892
17710430,141,109,250,,,,,,#N/A,#N/A
ITE00100554,141,109,250,,,,,,45.4717,9.1892
17710501,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17710502,175,107,282,,,,,,#N/A,#N/A
ITE00100554,175,107,282,,,,,,45.4717,9.1892
17710503,188,120,308,,,,,,#N/A,#N/A
ITE00100554,188,120,308,,,,,,45.4717,9.1892
17710504,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17710505,172,140,312,,,,,,#N/A,#N/A
ITE00100554,172,140,312,,,,,,45.4717,9.1892
17710506,178,122,300,,,,,,#N/A,#N/A
ITE00100554,178,122,300,,,,,,45.4717,9.1892
17710507,186,140,326,,,,,,#N/A,#N/A
ITE00100554,186,140,326,,,,,,45.4717,9.1892
17710508,201,155,356,,,,,,#N/A,#N/A
ITE00100554,201,155,356,,,,,,45.4717,9.1892
17710509,204,172,376,,,,,,#N/A,#N/A
ITE00100554,204,172,376,,,,,,45.4717,9.1892
17710510,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17710511,216,160,376,,,,,,#N/A,#N/A
ITE00100554,216,160,376,,,,,,45.4717,9.1892
17710512,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17710513,215,147,362,,,,,,#N/A,#N/A
ITE00100554,215,147,362,,,,,,45.4717,9.1892
17710514,240,172,412,,,,,,#N/A,#N/A
ITE00100554,240,172,412,,,,,,45.4717,9.1892
17710515,245,177,422,,,,,,#N/A,#N/A
ITE00100554,245,177,422,,,,,,45.4717,9.1892
17710516,259,191,450,,,,,,#N/A,#N/A
ITE00100554,259,191,450,,,,,,45.4717,9.1892
17710517,247,191,438,,,,,,#N/A,#N/A
ITE00100554,247,191,438,,,,,,45.4717,9.1892
17710518,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17710519,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17710520,210,178,388,,,,,,#N/A,#N/A
ITE00100554,210,178,388,,,,,,45.4717,9.1892
17710521,231,199,430,,,,,,#N/A,#N/A
ITE00100554,231,199,430,,,,,,45.4717,9.1892
17710522,247,191,438,,,,,,#N/A,#N/A
ITE00100554,247,191,438,,,,,,45.4717,9.1892
17710523,248,178,426,,,,,,#N/A,#N/A
ITE00100554,248,178,426,,,,,,45.4717,9.1892
17710524,247,191,438,,,,,,#N/A,#N/A
ITE00100554,247,191,438,,,,,,45.4717,9.1892
17710525,258,188,446,,,,,,#N/A,#N/A
ITE00100554,258,188,446,,,,,,45.4717,9.1892
17710526,258,202,460,,,,,,#N/A,#N/A
ITE00100554,258,202,460,,,,,,45.4717,9.1892
17710527,251,205,456,,,,,,#N/A,#N/A
ITE00100554,251,205,456,,,,,,45.4717,9.1892
17710528,256,200,456,,,,,,#N/A,#N/A
ITE00100554,256,200,456,,,,,,45.4717,9.1892
17710529,251,205,456,,,,,,#N/A,#N/A
ITE00100554,251,205,456,,,,,,45.4717,9.1892
17710530,254,198,452,,,,,,#N/A,#N/A
ITE00100554,254,198,452,,,,,,45.4717,9.1892
17710531,259,201,460,,,,,,#N/A,#N/A
ITE00100554,259,201,460,,,,,,45.4717,9.1892
17710601,237,189,426,,,,,,#N/A,#N/A
ITE00100554,237,189,426,,,,,,45.4717,9.1892
17710602,240,192,432,,,,,,#N/A,#N/A
ITE00100554,240,192,432,,,,,,45.4717,9.1892
17710603,202,154,356,,,,,,#N/A,#N/A
ITE00100554,202,154,356,,,,,,45.4717,9.1892
17710604,235,177,412,,,,,,#N/A,#N/A
ITE00100554,235,177,412,,,,,,45.4717,9.1892
17710605,199,151,350,,,,,,#N/A,#N/A
ITE00100554,199,151,350,,,,,,45.4717,9.1892
17710606,235,165,400,,,,,,#N/A,#N/A
ITE00100554,235,165,400,,,,,,45.4717,9.1892
17710607,254,184,438,,,,,,#N/A,#N/A
ITE00100554,254,184,438,,,,,,45.4717,9.1892
17710608,260,202,462,,,,,,#N/A,#N/A
ITE00100554,260,202,462,,,,,,45.4717,9.1892
17710609,273,203,476,,,,,,#N/A,#N/A
ITE00100554,273,203,476,,,,,,45.4717,9.1892
17710610,269,211,480,,,,,,#N/A,#N/A
ITE00100554,269,211,480,,,,,,45.4717,9.1892
17710611,251,179,430,,,,,,#N/A,#N/A
ITE00100554,251,179,430,,,,,,45.4717,9.1892
17710612,269,211,480,,,,,,#N/A,#N/A
ITE00100554,269,211,480,,,,,,45.4717,9.1892
17710613,281,209,490,,,,,,#N/A,#N/A
ITE00100554,281,209,490,,,,,,45.4717,9.1892
17710614,267,209,476,,,,,,#N/A,#N/A
ITE00100554,267,209,476,,,,,,45.4717,9.1892
17710615,247,213,460,,,,,,#N/A,#N/A
ITE00100554,247,213,460,,,,,,45.4717,9.1892
17710616,221,187,408,,,,,,#N/A,#N/A
ITE00100554,221,187,408,,,,,,45.4717,9.1892
17710617,192,158,350,,,,,,#N/A,#N/A
ITE00100554,192,158,350,,,,,,45.4717,9.1892
17710618,209,161,370,,,,,,#N/A,#N/A
ITE00100554,209,161,370,,,,,,45.4717,9.1892
17710619,243,195,438,,,,,,#N/A,#N/A
ITE00100554,243,195,438,,,,,,45.4717,9.1892
17710620,276,204,480,,,,,,#N/A,#N/A
ITE00100554,276,204,480,,,,,,45.4717,9.1892
17710621,268,208,476,,,,,,#N/A,#N/A
ITE00100554,268,208,476,,,,,,45.4717,9.1892
17710622,244,172,416,,,,,,#N/A,#N/A
ITE00100554,244,172,416,,,,,,45.4717,9.1892
17710623,211,151,362,,,,,,#N/A,#N/A
ITE00100554,211,151,362,,,,,,45.4717,9.1892
17710624,230,170,400,,,,,,#N/A,#N/A
ITE00100554,230,170,400,,,,,,45.4717,9.1892
17710625,243,183,426,,,,,,#N/A,#N/A
ITE00100554,243,183,426,,,,,,45.4717,9.1892
17710626,253,179,432,,,,,,#N/A,#N/A
ITE00100554,253,179,432,,,,,,45.4717,9.1892
17710627,230,196,426,,,,,,#N/A,#N/A
ITE00100554,230,196,426,,,,,,45.4717,9.1892
17710628,196,162,358,,,,,,#N/A,#N/A
ITE00100554,196,162,358,,,,,,45.4717,9.1892
17710629,223,149,372,,,,,,#N/A,#N/A
ITE00100554,223,149,372,,,,,,45.4717,9.1892
17710630,268,194,462,,,,,,#N/A,#N/A
ITE00100554,268,194,462,,,,,,45.4717,9.1892
17710701,264,204,468,,,,,,#N/A,#N/A
ITE00100554,264,204,468,,,,,,45.4717,9.1892
17710702,274,214,488,,,,,,#N/A,#N/A
ITE00100554,274,214,488,,,,,,45.4717,9.1892
17710703,271,221,492,,,,,,#N/A,#N/A
ITE00100554,271,221,492,,,,,,45.4717,9.1892
17710704,223,189,412,,,,,,#N/A,#N/A
ITE00100554,223,189,412,,,,,,45.4717,9.1892
17710705,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17710706,291,217,508,,,,,,#N/A,#N/A
ITE00100554,291,217,508,,,,,,45.4717,9.1892
17710707,245,211,456,,,,,,#N/A,#N/A
ITE00100554,245,211,456,,,,,,45.4717,9.1892
17710708,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17710709,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17710710,266,190,456,,,,,,#N/A,#N/A
ITE00100554,266,190,456,,,,,,45.4717,9.1892
17710711,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17710712,297,221,518,,,,,,#N/A,#N/A
ITE00100554,297,221,518,,,,,,45.4717,9.1892
17710713,290,228,518,,,,,,#N/A,#N/A
ITE00100554,290,228,518,,,,,,45.4717,9.1892
17710714,286,210,496,,,,,,#N/A,#N/A
ITE00100554,286,210,496,,,,,,45.4717,9.1892
17710715,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17710716,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17710717,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17710718,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17710719,304,228,532,,,,,,#N/A,#N/A
ITE00100554,304,228,532,,,,,,45.4717,9.1892
17710720,294,218,512,,,,,,#N/A,#N/A
ITE00100554,294,218,512,,,,,,45.4717,9.1892
17710721,234,198,432,,,,,,#N/A,#N/A
ITE00100554,234,198,432,,,,,,45.4717,9.1892
17710722,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17710723,279,203,482,,,,,,#N/A,#N/A
ITE00100554,279,203,482,,,,,,45.4717,9.1892
17710724,286,210,496,,,,,,#N/A,#N/A
ITE00100554,286,210,496,,,,,,45.4717,9.1892
17710725,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17710726,303,227,530,,,,,,#N/A,#N/A
ITE00100554,303,227,530,,,,,,45.4717,9.1892
17710727,307,231,538,,,,,,#N/A,#N/A
ITE00100554,307,231,538,,,,,,45.4717,9.1892
17710728,314,238,552,,,,,,#N/A,#N/A
ITE00100554,314,238,552,,,,,,45.4717,9.1892
17710729,317,241,558,,,,,,#N/A,#N/A
ITE00100554,317,241,558,,,,,,45.4717,9.1892
17710730,297,221,518,,,,,,#N/A,#N/A
ITE00100554,297,221,518,,,,,,45.4717,9.1892
17710731,294,218,512,,,,,,#N/A,#N/A
ITE00100554,294,218,512,,,,,,45.4717,9.1892
17710801,256,220,476,,,,,,#N/A,#N/A
ITE00100554,256,220,476,,,,,,45.4717,9.1892
17710802,256,194,450,,,,,,#N/A,#N/A
ITE00100554,256,194,450,,,,,,45.4717,9.1892
17710803,248,172,420,,,,,,#N/A,#N/A
ITE00100554,248,172,420,,,,,,45.4717,9.1892
17710804,246,184,430,,,,,,#N/A,#N/A
ITE00100554,246,184,430,,,,,,45.4717,9.1892
17710805,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17710806,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17710807,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17710808,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17710809,279,217,496,,,,,,#N/A,#N/A
ITE00100554,279,217,496,,,,,,45.4717,9.1892
17710810,299,223,522,,,,,,#N/A,#N/A
ITE00100554,299,223,522,,,,,,45.4717,9.1892
17710811,311,235,546,,,,,,#N/A,#N/A
ITE00100554,311,235,546,,,,,,45.4717,9.1892
17710812,314,238,552,,,,,,#N/A,#N/A
ITE00100554,314,238,552,,,,,,45.4717,9.1892
17710813,300,238,538,,,,,,#N/A,#N/A
ITE00100554,300,238,538,,,,,,45.4717,9.1892
17710814,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17710815,258,182,440,,,,,,#N/A,#N/A
ITE00100554,258,182,440,,,,,,45.4717,9.1892
17710816,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17710817,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17710818,273,197,470,,,,,,#N/A,#N/A
ITE00100554,273,197,470,,,,,,45.4717,9.1892
17710819,269,207,476,,,,,,#N/A,#N/A
ITE00100554,269,207,476,,,,,,45.4717,9.1892
17710820,271,195,466,,,,,,#N/A,#N/A
ITE00100554,271,195,466,,,,,,45.4717,9.1892
17710821,286,210,496,,,,,,#N/A,#N/A
ITE00100554,286,210,496,,,,,,45.4717,9.1892
17710822,296,220,516,,,,,,#N/A,#N/A
ITE00100554,296,220,516,,,,,,45.4717,9.1892
17710823,299,237,536,,,,,,#N/A,#N/A
ITE00100554,299,237,536,,,,,,45.4717,9.1892
17710824,257,223,480,,,,,,#N/A,#N/A
ITE00100554,257,223,480,,,,,,45.4717,9.1892
17710825,268,194,462,,,,,,#N/A,#N/A
ITE00100554,268,194,462,,,,,,45.4717,9.1892
17710826,242,168,410,,,,,,#N/A,#N/A
ITE00100554,242,168,410,,,,,,45.4717,9.1892
17710827,247,173,420,,,,,,#N/A,#N/A
ITE00100554,247,173,420,,,,,,45.4717,9.1892
17710828,250,176,426,,,,,,#N/A,#N/A
ITE00100554,250,176,426,,,,,,45.4717,9.1892
17710829,239,179,418,,,,,,#N/A,#N/A
ITE00100554,239,179,418,,,,,,45.4717,9.1892
17710830,255,181,436,,,,,,#N/A,#N/A
ITE00100554,255,181,436,,,,,,45.4717,9.1892
17710831,268,194,462,,,,,,#N/A,#N/A
ITE00100554,268,194,462,,,,,,45.4717,9.1892
17710901,276,204,480,,,,,,#N/A,#N/A
ITE00100554,276,204,480,,,,,,45.4717,9.1892
17710902,275,203,478,,,,,,#N/A,#N/A
ITE00100554,275,203,478,,,,,,45.4717,9.1892
17710903,262,204,466,,,,,,#N/A,#N/A
ITE00100554,262,204,466,,,,,,45.4717,9.1892
17710904,254,196,450,,,,,,#N/A,#N/A
ITE00100554,254,196,450,,,,,,45.4717,9.1892
17710905,248,214,462,,,,,,#N/A,#N/A
ITE00100554,248,214,462,,,,,,45.4717,9.1892
17710906,232,184,416,,,,,,#N/A,#N/A
ITE00100554,232,184,416,,,,,,45.4717,9.1892
17710907,242,184,426,,,,,,#N/A,#N/A
ITE00100554,242,184,426,,,,,,45.4717,9.1892
17710908,218,170,388,,,,,,#N/A,#N/A
ITE00100554,218,170,388,,,,,,45.4717,9.1892
17710909,229,171,400,,,,,,#N/A,#N/A
ITE00100554,229,171,400,,,,,,45.4717,9.1892
17710910,221,151,372,,,,,,#N/A,#N/A
ITE00100554,221,151,372,,,,,,45.4717,9.1892
17710911,211,155,366,,,,,,#N/A,#N/A
ITE00100554,211,155,366,,,,,,45.4717,9.1892
17710912,226,156,382,,,,,,#N/A,#N/A
ITE00100554,226,156,382,,,,,,45.4717,9.1892
17710913,229,161,390,,,,,,#N/A,#N/A
ITE00100554,229,161,390,,,,,,45.4717,9.1892
17710914,232,176,408,,,,,,#N/A,#N/A
ITE00100554,232,176,408,,,,,,45.4717,9.1892
17710915,241,185,426,,,,,,#N/A,#N/A
ITE00100554,241,185,426,,,,,,45.4717,9.1892
17710916,257,189,446,,,,,,#N/A,#N/A
ITE00100554,257,189,446,,,,,,45.4717,9.1892
17710917,236,182,418,,,,,,#N/A,#N/A
