Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
17640323,103,37,140,,,,,,#N/A,#N/A
ITE00100554,103,37,140,,,,,,45.4717,9.1892
17640324,106,52,158,,,,,,#N/A,#N/A
ITE00100554,106,52,158,,,,,,45.4717,9.1892
17640325,115,71,186,,,,,,#N/A,#N/A
ITE00100554,115,71,186,,,,,,45.4717,9.1892
17640326,129,63,192,,,,,,#N/A,#N/A
ITE00100554,129,63,192,,,,,,45.4717,9.1892
17640327,143,89,232,,,,,,#N/A,#N/A
ITE00100554,143,89,232,,,,,,45.4717,9.1892
17640328,140,96,236,,,,,,#N/A,#N/A
ITE00100554,140,96,236,,,,,,45.4717,9.1892
17640329,141,87,228,,,,,,#N/A,#N/A
ITE00100554,141,87,228,,,,,,45.4717,9.1892
17640330,149,83,232,,,,,,#N/A,#N/A
ITE00100554,149,83,232,,,,,,45.4717,9.1892
17640331,158,90,248,,,,,,#N/A,#N/A
ITE00100554,158,90,248,,,,,,45.4717,9.1892
17640401,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17640402,148,80,228,,,,,,#N/A,#N/A
ITE00100554,148,80,228,,,,,,45.4717,9.1892
17640403,163,95,258,,,,,,#N/A,#N/A
ITE00100554,163,95,258,,,,,,45.4717,9.1892
17640404,163,95,258,,,,,,#N/A,#N/A
ITE00100554,163,95,258,,,,,,45.4717,9.1892
17640405,182,114,296,,,,,,#N/A,#N/A
ITE00100554,182,114,296,,,,,,45.4717,9.1892
17640406,134,88,222,,,,,,#N/A,#N/A
ITE00100554,134,88,222,,,,,,45.4717,9.1892
17640407,104,72,176,,,,,,#N/A,#N/A
ITE00100554,104,72,176,,,,,,45.4717,9.1892
17640408,133,87,220,,,,,,#N/A,#N/A
ITE00100554,133,87,220,,,,,,45.4717,9.1892
17640409,136,90,226,,,,,,#N/A,#N/A
ITE00100554,136,90,226,,,,,,45.4717,9.1892
17640410,122,90,212,,,,,,#N/A,#N/A
ITE00100554,122,90,212,,,,,,45.4717,9.1892
17640411,116,60,176,,,,,,#N/A,#N/A
ITE00100554,116,60,176,,,,,,45.4717,9.1892
17640412,132,64,196,,,,,,#N/A,#N/A
ITE00100554,132,64,196,,,,,,45.4717,9.1892
17640413,146,90,236,,,,,,#N/A,#N/A
ITE00100554,146,90,236,,,,,,45.4717,9.1892
17640414,154,108,262,,,,,,#N/A,#N/A
ITE00100554,154,108,262,,,,,,45.4717,9.1892
17640415,143,75,218,,,,,,#N/A,#N/A
ITE00100554,143,75,218,,,,,,45.4717,9.1892
17640416,147,91,238,,,,,,#N/A,#N/A
ITE00100554,147,91,238,,,,,,45.4717,9.1892
17640417,159,91,250,,,,,,#N/A,#N/A
ITE00100554,159,91,250,,,,,,45.4717,9.1892
17640418,162,94,256,,,,,,#N/A,#N/A
ITE00100554,162,94,256,,,,,,45.4717,9.1892
17640419,122,66,188,,,,,,#N/A,#N/A
ITE00100554,122,66,188,,,,,,45.4717,9.1892
17640420,124,56,180,,,,,,#N/A,#N/A
ITE00100554,124,56,180,,,,,,45.4717,9.1892
17640421,153,85,238,,,,,,#N/A,#N/A
ITE00100554,153,85,238,,,,,,45.4717,9.1892
17640422,148,80,228,,,,,,#N/A,#N/A
ITE00100554,148,80,228,,,,,,45.4717,9.1892
17640423,150,82,232,,,,,,#N/A,#N/A
ITE00100554,150,82,232,,,,,,45.4717,9.1892
17640424,148,92,240,,,,,,#N/A,#N/A
ITE00100554,148,92,240,,,,,,45.4717,9.1892
17640425,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17640426,132,100,232,,,,,,#N/A,#N/A
ITE00100554,132,100,232,,,,,,45.4717,9.1892
17640427,155,123,278,,,,,,#N/A,#N/A
ITE00100554,155,123,278,,,,,,45.4717,9.1892
17640428,144,76,220,,,,,,#N/A,#N/A
ITE00100554,144,76,220,,,,,,45.4717,9.1892
17640429,168,100,268,,,,,,#N/A,#N/A
ITE00100554,168,100,268,,,,,,45.4717,9.1892
17640430,193,125,318,,,,,,#N/A,#N/A
ITE00100554,193,125,318,,,,,,45.4717,9.1892
17640501,202,134,336,,,,,,#N/A,#N/A
ITE00100554,202,134,336,,,,,,45.4717,9.1892
17640502,220,152,372,,,,,,#N/A,#N/A
ITE00100554,220,152,372,,,,,,45.4717,9.1892
17640503,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17640504,198,130,328,,,,,,#N/A,#N/A
ITE00100554,198,130,328,,,,,,45.4717,9.1892
17640505,220,152,372,,,,,,#N/A,#N/A
ITE00100554,220,152,372,,,,,,45.4717,9.1892
17640506,223,155,378,,,,,,#N/A,#N/A
ITE00100554,223,155,378,,,,,,45.4717,9.1892
17640507,235,167,402,,,,,,#N/A,#N/A
ITE00100554,235,167,402,,,,,,45.4717,9.1892
17640508,235,167,402,,,,,,#N/A,#N/A
ITE00100554,235,167,402,,,,,,45.4717,9.1892
17640509,233,177,410,,,,,,#N/A,#N/A
ITE00100554,233,177,410,,,,,,45.4717,9.1892
17640510,204,172,376,,,,,,#N/A,#N/A
ITE00100554,204,172,376,,,,,,45.4717,9.1892
17640511,208,162,370,,,,,,#N/A,#N/A
ITE00100554,208,162,370,,,,,,45.4717,9.1892
17640512,195,163,358,,,,,,#N/A,#N/A
ITE00100554,195,163,358,,,,,,45.4717,9.1892
17640513,212,156,368,,,,,,#N/A,#N/A
ITE00100554,212,156,368,,,,,,45.4717,9.1892
17640514,223,167,390,,,,,,#N/A,#N/A
ITE00100554,223,167,390,,,,,,45.4717,9.1892
17640515,212,180,392,,,,,,#N/A,#N/A
ITE00100554,212,180,392,,,,,,45.4717,9.1892
17640516,207,175,382,,,,,,#N/A,#N/A
ITE00100554,207,175,382,,,,,,45.4717,9.1892
17640517,212,166,378,,,,,,#N/A,#N/A
ITE00100554,212,166,378,,,,,,45.4717,9.1892
17640518,201,169,370,,,,,,#N/A,#N/A
ITE00100554,201,169,370,,,,,,45.4717,9.1892
17640519,195,163,358,,,,,,#N/A,#N/A
ITE00100554,195,163,358,,,,,,45.4717,9.1892
17640520,205,173,378,,,,,,#N/A,#N/A
ITE00100554,205,173,378,,,,,,45.4717,9.1892
17640521,217,171,388,,,,,,#N/A,#N/A
ITE00100554,217,171,388,,,,,,45.4717,9.1892
17640522,234,178,412,,,,,,#N/A,#N/A
ITE00100554,234,178,412,,,,,,45.4717,9.1892
17640523,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17640524,254,198,452,,,,,,#N/A,#N/A
ITE00100554,254,198,452,,,,,,45.4717,9.1892
17640525,249,193,442,,,,,,#N/A,#N/A
ITE00100554,249,193,442,,,,,,45.4717,9.1892
17640526,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17640527,244,188,432,,,,,,#N/A,#N/A
ITE00100554,244,188,432,,,,,,45.4717,9.1892
17640528,254,184,438,,,,,,#N/A,#N/A
ITE00100554,254,184,438,,,,,,45.4717,9.1892
17640529,234,178,412,,,,,,#N/A,#N/A
ITE00100554,234,178,412,,,,,,45.4717,9.1892
17640530,217,171,388,,,,,,#N/A,#N/A
ITE00100554,217,171,388,,,,,,45.4717,9.1892
17640531,203,145,348,,,,,,#N/A,#N/A
ITE00100554,203,145,348,,,,,,45.4717,9.1892
17640601,206,136,342,,,,,,#N/A,#N/A
ITE00100554,206,136,342,,,,,,45.4717,9.1892
17640602,228,170,398,,,,,,#N/A,#N/A
ITE00100554,228,170,398,,,,,,45.4717,9.1892
17640603,202,144,346,,,,,,#N/A,#N/A
ITE00100554,202,144,346,,,,,,45.4717,9.1892
17640604,200,130,330,,,,,,#N/A,#N/A
ITE00100554,200,130,330,,,,,,45.4717,9.1892
17640605,199,129,328,,,,,,#N/A,#N/A
ITE00100554,199,129,328,,,,,,45.4717,9.1892
17640606,199,141,340,,,,,,#N/A,#N/A
ITE00100554,199,141,340,,,,,,45.4717,9.1892
17640607,204,146,350,,,,,,#N/A,#N/A
ITE00100554,204,146,350,,,,,,45.4717,9.1892
17640608,202,170,372,,,,,,#N/A,#N/A
ITE00100554,202,170,372,,,,,,45.4717,9.1892
17640609,208,160,368,,,,,,#N/A,#N/A
ITE00100554,208,160,368,,,,,,45.4717,9.1892
17640610,218,170,388,,,,,,#N/A,#N/A
ITE00100554,218,170,388,,,,,,45.4717,9.1892
17640611,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17640612,274,202,476,,,,,,#N/A,#N/A
ITE00100554,274,202,476,,,,,,45.4717,9.1892
17640613,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17640614,265,193,458,,,,,,#N/A,#N/A
ITE00100554,265,193,458,,,,,,45.4717,9.1892
17640615,286,214,500,,,,,,#N/A,#N/A
ITE00100554,286,214,500,,,,,,45.4717,9.1892
17640616,290,218,508,,,,,,#N/A,#N/A
ITE00100554,290,218,508,,,,,,45.4717,9.1892
17640617,287,215,502,,,,,,#N/A,#N/A
ITE00100554,287,215,502,,,,,,45.4717,9.1892
17640618,294,236,530,,,,,,#N/A,#N/A
ITE00100554,294,236,530,,,,,,45.4717,9.1892
17640619,297,225,522,,,,,,#N/A,#N/A
ITE00100554,297,225,522,,,,,,45.4717,9.1892
17640620,301,229,530,,,,,,#N/A,#N/A
ITE00100554,301,229,530,,,,,,45.4717,9.1892
17640621,286,214,500,,,,,,#N/A,#N/A
ITE00100554,286,214,500,,,,,,45.4717,9.1892
17640622,275,215,490,,,,,,#N/A,#N/A
ITE00100554,275,215,490,,,,,,45.4717,9.1892
17640623,296,224,520,,,,,,#N/A,#N/A
ITE00100554,296,224,520,,,,,,45.4717,9.1892
17640624,296,236,532,,,,,,#N/A,#N/A
ITE00100554,296,236,532,,,,,,45.4717,9.1892
17640625,263,229,492,,,,,,#N/A,#N/A
ITE00100554,263,229,492,,,,,,45.4717,9.1892
17640626,248,214,462,,,,,,#N/A,#N/A
ITE00100554,248,214,462,,,,,,45.4717,9.1892
17640627,282,208,490,,,,,,#N/A,#N/A
ITE00100554,282,208,490,,,,,,45.4717,9.1892
17640628,296,222,518,,,,,,#N/A,#N/A
ITE00100554,296,222,518,,,,,,45.4717,9.1892
17640629,295,235,530,,,,,,#N/A,#N/A
ITE00100554,295,235,530,,,,,,45.4717,9.1892
17640630,291,217,508,,,,,,#N/A,#N/A
ITE00100554,291,217,508,,,,,,45.4717,9.1892
17640701,285,211,496,,,,,,#N/A,#N/A
ITE00100554,285,211,496,,,,,,45.4717,9.1892
17640702,284,224,508,,,,,,#N/A,#N/A
ITE00100554,284,224,508,,,,,,45.4717,9.1892
17640703,220,186,406,,,,,,#N/A,#N/A
ITE00100554,220,186,406,,,,,,45.4717,9.1892
17640704,236,202,438,,,,,,#N/A,#N/A
ITE00100554,236,202,438,,,,,,45.4717,9.1892
17640705,218,184,402,,,,,,#N/A,#N/A
ITE00100554,218,184,402,,,,,,45.4717,9.1892
17640706,248,214,462,,,,,,#N/A,#N/A
ITE00100554,248,214,462,,,,,,45.4717,9.1892
17640707,231,197,428,,,,,,#N/A,#N/A
ITE00100554,231,197,428,,,,,,45.4717,9.1892
17640708,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17640709,281,207,488,,,,,,#N/A,#N/A
ITE00100554,281,207,488,,,,,,45.4717,9.1892
17640710,259,183,442,,,,,,#N/A,#N/A
ITE00100554,259,183,442,,,,,,45.4717,9.1892
17640711,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17640712,265,203,468,,,,,,#N/A,#N/A
ITE00100554,265,203,468,,,,,,45.4717,9.1892
17640713,269,207,476,,,,,,#N/A,#N/A
ITE00100554,269,207,476,,,,,,45.4717,9.1892
17640714,277,215,492,,,,,,#N/A,#N/A
ITE00100554,277,215,492,,,,,,45.4717,9.1892
17640715,245,183,428,,,,,,#N/A,#N/A
ITE00100554,245,183,428,,,,,,45.4717,9.1892
17640716,250,188,438,,,,,,#N/A,#N/A
ITE00100554,250,188,438,,,,,,45.4717,9.1892
17640717,266,190,456,,,,,,#N/A,#N/A
ITE00100554,266,190,456,,,,,,45.4717,9.1892
17640718,273,197,470,,,,,,#N/A,#N/A
ITE00100554,273,197,470,,,,,,45.4717,9.1892
17640719,276,214,490,,,,,,#N/A,#N/A
ITE00100554,276,214,490,,,,,,45.4717,9.1892
17640720,274,212,486,,,,,,#N/A,#N/A
ITE00100554,274,212,486,,,,,,45.4717,9.1892
17640721,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17640722,274,198,472,,,,,,#N/A,#N/A
ITE00100554,274,198,472,,,,,,45.4717,9.1892
17640723,282,220,502,,,,,,#N/A,#N/A
ITE00100554,282,220,502,,,,,,45.4717,9.1892
17640724,277,201,478,,,,,,#N/A,#N/A
ITE00100554,277,201,478,,,,,,45.4717,9.1892
17640725,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17640726,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17640727,295,233,528,,,,,,#N/A,#N/A
ITE00100554,295,233,528,,,,,,45.4717,9.1892
17640728,292,230,522,,,,,,#N/A,#N/A
ITE00100554,292,230,522,,,,,,45.4717,9.1892
17640729,287,225,512,,,,,,#N/A,#N/A
ITE00100554,287,225,512,,,,,,45.4717,9.1892
17640730,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17640731,263,227,490,,,,,,#N/A,#N/A
ITE00100554,263,227,490,,,,,,45.4717,9.1892
17640801,272,210,482,,,,,,#N/A,#N/A
ITE00100554,272,210,482,,,,,,45.4717,9.1892
17640802,280,218,498,,,,,,#N/A,#N/A
ITE00100554,280,218,498,,,,,,45.4717,9.1892
17640803,277,201,478,,,,,,#N/A,#N/A
ITE00100554,277,201,478,,,,,,45.4717,9.1892
17640804,238,162,400,,,,,,#N/A,#N/A
ITE00100554,238,162,400,,,,,,45.4717,9.1892
17640805,244,168,412,,,,,,#N/A,#N/A
ITE00100554,244,168,412,,,,,,45.4717,9.1892
17640806,237,201,438,,,,,,#N/A,#N/A
ITE00100554,237,201,438,,,,,,45.4717,9.1892
17640807,256,194,450,,,,,,#N/A,#N/A
ITE00100554,256,194,450,,,,,,45.4717,9.1892
17640808,237,201,438,,,,,,#N/A,#N/A
ITE00100554,237,201,438,,,,,,45.4717,9.1892
17640809,269,207,476,,,,,,#N/A,#N/A
ITE00100554,269,207,476,,,,,,45.4717,9.1892
17640810,280,218,498,,,,,,#N/A,#N/A
ITE00100554,280,218,498,,,,,,45.4717,9.1892
17640811,252,216,468,,,,,,#N/A,#N/A
ITE00100554,252,216,468,,,,,,45.4717,9.1892
17640812,247,211,458,,,,,,#N/A,#N/A
ITE00100554,247,211,458,,,,,,45.4717,9.1892
17640813,246,184,430,,,,,,#N/A,#N/A
ITE00100554,246,184,430,,,,,,45.4717,9.1892
17640814,247,185,432,,,,,,#N/A,#N/A
ITE00100554,247,185,432,,,,,,45.4717,9.1892
17640815,268,192,460,,,,,,#N/A,#N/A
ITE00100554,268,192,460,,,,,,45.4717,9.1892
17640816,262,200,462,,,,,,#N/A,#N/A
ITE00100554,262,200,462,,,,,,45.4717,9.1892
17640817,212,150,362,,,,,,#N/A,#N/A
ITE00100554,212,150,362,,,,,,45.4717,9.1892
17640818,226,150,376,,,,,,#N/A,#N/A
ITE00100554,226,150,376,,,,,,45.4717,9.1892
17640819,206,172,378,,,,,,#N/A,#N/A
ITE00100554,206,172,378,,,,,,45.4717,9.1892
17640820,190,126,316,,,,,,#N/A,#N/A
ITE00100554,190,126,316,,,,,,45.4717,9.1892
17640821,200,150,350,,,,,,#N/A,#N/A
ITE00100554,200,150,350,,,,,,45.4717,9.1892
17640822,207,131,338,,,,,,#N/A,#N/A
ITE00100554,207,131,338,,,,,,45.4717,9.1892
17640823,216,142,358,,,,,,#N/A,#N/A
ITE00100554,216,142,358,,,,,,45.4717,9.1892
17640824,238,164,402,,,,,,#N/A,#N/A
ITE00100554,238,164,402,,,,,,45.4717,9.1892
17640825,248,174,422,,,,,,#N/A,#N/A
ITE00100554,248,174,422,,,,,,45.4717,9.1892
17640826,251,177,428,,,,,,#N/A,#N/A
ITE00100554,251,177,428,,,,,,45.4717,9.1892
17640827,258,184,442,,,,,,#N/A,#N/A
ITE00100554,258,184,442,,,,,,45.4717,9.1892
17640828,271,197,468,,,,,,#N/A,#N/A
ITE00100554,271,197,468,,,,,,45.4717,9.1892
17640829,267,193,460,,,,,,#N/A,#N/A
ITE00100554,267,193,460,,,,,,45.4717,9.1892
17640830,268,194,462,,,,,,#N/A,#N/A
ITE00100554,268,194,462,,,,,,45.4717,9.1892
17640831,270,196,466,,,,,,#N/A,#N/A
ITE00100554,270,196,466,,,,,,45.4717,9.1892
17640901,276,204,480,,,,,,#N/A,#N/A
ITE00100554,276,204,480,,,,,,45.4717,9.1892
17640902,277,205,482,,,,,,#N/A,#N/A
ITE00100554,277,205,482,,,,,,45.4717,9.1892
17640903,257,199,456,,,,,,#N/A,#N/A
ITE00100554,257,199,456,,,,,,45.4717,9.1892
17640904,230,196,426,,,,,,#N/A,#N/A
ITE00100554,230,196,426,,,,,,45.4717,9.1892
17640905,239,181,420,,,,,,#N/A,#N/A
ITE00100554,239,181,420,,,,,,45.4717,9.1892
17640906,207,149,356,,,,,,#N/A,#N/A
ITE00100554,207,149,356,,,,,,45.4717,9.1892
17640907,205,147,352,,,,,,#N/A,#N/A
ITE00100554,205,147,352,,,,,,45.4717,9.1892
17640908,224,154,378,,,,,,#N/A,#N/A
ITE00100554,224,154,378,,,,,,45.4717,9.1892
17640909,233,163,396,,,,,,#N/A,#N/A
ITE00100554,233,163,396,,,,,,45.4717,9.1892
17640910,231,175,406,,,,,,#N/A,#N/A
ITE00100554,231,175,406,,,,,,45.4717,9.1892
17640911,251,181,432,,,,,,#N/A,#N/A
ITE00100554,251,181,432,,,,,,45.4717,9.1892
17640912,251,181,432,,,,,,#N/A,#N/A
ITE00100554,251,181,432,,,,,,45.4717,9.1892
17640913,259,191,450,,,,,,#N/A,#N/A
ITE00100554,259,191,450,,,,,,45.4717,9.1892
17640914,244,188,432,,,,,,#N/A,#N/A
ITE00100554,244,188,432,,,,,,45.4717,9.1892
17640915,229,197,426,,,,,,#N/A,#N/A
ITE00100554,229,197,426,,,,,,45.4717,9.1892
17640916,206,174,380,,,,,,#N/A,#N/A
ITE00100554,206,174,380,,,,,,45.4717,9.1892
17640917,221,167,388,,,,,,#N/A,#N/A
