Sum of Value,Column Labels,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance
ITE00100554,99,53,152,,,,,,45.4717,9.1892
17630223,108,70,178,,,,,,#N/A,#N/A
ITE00100554,108,70,178,,,,,,45.4717,9.1892
17630224,109,83,192,,,,,,#N/A,#N/A
ITE00100554,109,83,192,,,,,,45.4717,9.1892
17630225,104,78,182,,,,,,#N/A,#N/A
ITE00100554,104,78,182,,,,,,45.4717,9.1892
17630226,119,73,192,,,,,,#N/A,#N/A
ITE00100554,119,73,192,,,,,,45.4717,9.1892
17630227,107,59,166,,,,,,#N/A,#N/A
ITE00100554,107,59,166,,,,,,45.4717,9.1892
17630228,108,80,188,,,,,,#N/A,#N/A
ITE00100554,108,80,188,,,,,,45.4717,9.1892
17630301,119,71,190,,,,,,#N/A,#N/A
ITE00100554,119,71,190,,,,,,45.4717,9.1892
17630302,108,68,176,,,,,,#N/A,#N/A
ITE00100554,108,68,176,,,,,,45.4717,9.1892
17630303,108,80,188,,,,,,#N/A,#N/A
ITE00100554,108,80,188,,,,,,45.4717,9.1892
17630304,118,78,196,,,,,,#N/A,#N/A
ITE00100554,118,78,196,,,,,,45.4717,9.1892
17630305,121,61,182,,,,,,#N/A,#N/A
ITE00100554,121,61,182,,,,,,45.4717,9.1892
17630306,114,64,178,,,,,,#N/A,#N/A
ITE00100554,114,64,178,,,,,,45.4717,9.1892
17630307,106,44,150,,,,,,#N/A,#N/A
ITE00100554,106,44,150,,,,,,45.4717,9.1892
17630308,116,54,170,,,,,,#N/A,#N/A
ITE00100554,116,54,170,,,,,,45.4717,9.1892
17630309,101,39,140,,,,,,#N/A,#N/A
ITE00100554,101,39,140,,,,,,45.4717,9.1892
17630310,110,48,158,,,,,,#N/A,#N/A
ITE00100554,110,48,158,,,,,,45.4717,9.1892
17630311,121,69,190,,,,,,#N/A,#N/A
ITE00100554,121,69,190,,,,,,45.4717,9.1892
17630312,-8,-38,-46,,,,,,#N/A,#N/A
ITE00100554,-8,-38,-46,,,,,,45.4717,9.1892
17630313,-24,-54,-78,,,,,,#N/A,#N/A
ITE00100554,-24,-54,-78,,,,,,45.4717,9.1892
17630314,18,-24,-6,,,,,,#N/A,#N/A
ITE00100554,18,-24,-6,,,,,,45.4717,9.1892
17630315,57,5,62,,,,,,#N/A,#N/A
ITE00100554,57,5,62,,,,,,45.4717,9.1892
17630316,72,28,100,,,,,,#N/A,#N/A
ITE00100554,72,28,100,,,,,,45.4717,9.1892
17630317,95,43,138,,,,,,#N/A,#N/A
ITE00100554,95,43,138,,,,,,45.4717,9.1892
17630318,97,33,130,,,,,,#N/A,#N/A
ITE00100554,97,33,130,,,,,,45.4717,9.1892
17630319,108,54,162,,,,,,#N/A,#N/A
ITE00100554,108,54,162,,,,,,45.4717,9.1892
17630320,127,61,188,,,,,,#N/A,#N/A
ITE00100554,127,61,188,,,,,,45.4717,9.1892
17630321,139,73,212,,,,,,#N/A,#N/A
ITE00100554,139,73,212,,,,,,45.4717,9.1892
17630322,161,95,256,,,,,,#N/A,#N/A
ITE00100554,161,95,256,,,,,,45.4717,9.1892
17630323,152,98,250,,,,,,#N/A,#N/A
ITE00100554,152,98,250,,,,,,45.4717,9.1892
17630324,104,74,178,,,,,,#N/A,#N/A
ITE00100554,104,74,178,,,,,,45.4717,9.1892
17630325,117,51,168,,,,,,#N/A,#N/A
ITE00100554,117,51,168,,,,,,45.4717,9.1892
17630326,98,44,142,,,,,,#N/A,#N/A
ITE00100554,98,44,142,,,,,,45.4717,9.1892
17630327,93,39,132,,,,,,#N/A,#N/A
ITE00100554,93,39,132,,,,,,45.4717,9.1892
17630328,73,19,92,,,,,,#N/A,#N/A
ITE00100554,73,19,92,,,,,,45.4717,9.1892
17630329,77,23,100,,,,,,#N/A,#N/A
ITE00100554,77,23,100,,,,,,45.4717,9.1892
17630330,117,51,168,,,,,,#N/A,#N/A
ITE00100554,117,51,168,,,,,,45.4717,9.1892
17630331,134,66,200,,,,,,#N/A,#N/A
ITE00100554,134,66,200,,,,,,45.4717,9.1892
17630401,134,66,200,,,,,,#N/A,#N/A
ITE00100554,134,66,200,,,,,,45.4717,9.1892
17630402,134,66,200,,,,,,#N/A,#N/A
ITE00100554,134,66,200,,,,,,45.4717,9.1892
17630403,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17630404,172,104,276,,,,,,#N/A,#N/A
ITE00100554,172,104,276,,,,,,45.4717,9.1892
17630405,160,92,252,,,,,,#N/A,#N/A
ITE00100554,160,92,252,,,,,,45.4717,9.1892
17630406,118,50,168,,,,,,#N/A,#N/A
ITE00100554,118,50,168,,,,,,45.4717,9.1892
17630407,134,66,200,,,,,,#N/A,#N/A
ITE00100554,134,66,200,,,,,,45.4717,9.1892
17630408,153,85,238,,,,,,#N/A,#N/A
ITE00100554,153,85,238,,,,,,45.4717,9.1892
17630409,165,97,262,,,,,,#N/A,#N/A
ITE00100554,165,97,262,,,,,,45.4717,9.1892
17630410,147,79,226,,,,,,#N/A,#N/A
ITE00100554,147,79,226,,,,,,45.4717,9.1892
17630411,126,94,220,,,,,,#N/A,#N/A
ITE00100554,126,94,220,,,,,,45.4717,9.1892
17630412,119,73,192,,,,,,#N/A,#N/A
ITE00100554,119,73,192,,,,,,45.4717,9.1892
17630413,149,93,242,,,,,,#N/A,#N/A
ITE00100554,149,93,242,,,,,,45.4717,9.1892
17630414,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17630415,153,85,238,,,,,,#N/A,#N/A
ITE00100554,153,85,238,,,,,,45.4717,9.1892
17630416,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17630417,178,122,300,,,,,,#N/A,#N/A
ITE00100554,178,122,300,,,,,,45.4717,9.1892
17630418,193,125,318,,,,,,#N/A,#N/A
ITE00100554,193,125,318,,,,,,45.4717,9.1892
17630419,163,117,280,,,,,,#N/A,#N/A
ITE00100554,163,117,280,,,,,,45.4717,9.1892
17630420,156,124,280,,,,,,#N/A,#N/A
ITE00100554,156,124,280,,,,,,45.4717,9.1892
17630421,157,111,268,,,,,,#N/A,#N/A
ITE00100554,157,111,268,,,,,,45.4717,9.1892
17630422,156,124,280,,,,,,#N/A,#N/A
ITE00100554,156,124,280,,,,,,45.4717,9.1892
17630423,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17630424,178,110,288,,,,,,#N/A,#N/A
ITE00100554,178,110,288,,,,,,45.4717,9.1892
17630425,190,122,312,,,,,,#N/A,#N/A
ITE00100554,190,122,312,,,,,,45.4717,9.1892
17630426,203,135,338,,,,,,#N/A,#N/A
ITE00100554,203,135,338,,,,,,45.4717,9.1892
17630427,190,122,312,,,,,,#N/A,#N/A
ITE00100554,190,122,312,,,,,,45.4717,9.1892
17630428,185,153,338,,,,,,#N/A,#N/A
ITE00100554,185,153,338,,,,,,45.4717,9.1892
17630429,142,110,252,,,,,,#N/A,#N/A
ITE00100554,142,110,252,,,,,,45.4717,9.1892
17630430,151,105,256,,,,,,#N/A,#N/A
ITE00100554,151,105,256,,,,,,45.4717,9.1892
17630501,136,90,226,,,,,,#N/A,#N/A
ITE00100554,136,90,226,,,,,,45.4717,9.1892
17630502,122,90,212,,,,,,#N/A,#N/A
ITE00100554,122,90,212,,,,,,45.4717,9.1892
17630503,147,101,248,,,,,,#N/A,#N/A
ITE00100554,147,101,248,,,,,,45.4717,9.1892
17630504,141,85,226,,,,,,#N/A,#N/A
ITE00100554,141,85,226,,,,,,45.4717,9.1892
17630505,131,99,230,,,,,,#N/A,#N/A
ITE00100554,131,99,230,,,,,,45.4717,9.1892
17630506,137,105,242,,,,,,#N/A,#N/A
ITE00100554,137,105,242,,,,,,45.4717,9.1892
17630507,167,121,288,,,,,,#N/A,#N/A
ITE00100554,167,121,288,,,,,,45.4717,9.1892
17630508,148,102,250,,,,,,#N/A,#N/A
ITE00100554,148,102,250,,,,,,45.4717,9.1892
17630509,147,115,262,,,,,,#N/A,#N/A
ITE00100554,147,115,262,,,,,,45.4717,9.1892
17630510,141,109,250,,,,,,#N/A,#N/A
ITE00100554,141,109,250,,,,,,45.4717,9.1892
17630511,178,110,288,,,,,,#N/A,#N/A
ITE00100554,178,110,288,,,,,,45.4717,9.1892
17630512,167,135,302,,,,,,#N/A,#N/A
ITE00100554,167,135,302,,,,,,45.4717,9.1892
17630513,154,122,276,,,,,,#N/A,#N/A
ITE00100554,154,122,276,,,,,,45.4717,9.1892
17630514,173,127,300,,,,,,#N/A,#N/A
ITE00100554,173,127,300,,,,,,45.4717,9.1892
17630515,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17630516,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17630517,170,138,308,,,,,,#N/A,#N/A
ITE00100554,170,138,308,,,,,,45.4717,9.1892
17630518,178,122,300,,,,,,#N/A,#N/A
ITE00100554,178,122,300,,,,,,45.4717,9.1892
17630519,172,140,312,,,,,,#N/A,#N/A
ITE00100554,172,140,312,,,,,,45.4717,9.1892
17630520,223,153,376,,,,,,#N/A,#N/A
ITE00100554,223,153,376,,,,,,45.4717,9.1892
17630521,231,159,390,,,,,,#N/A,#N/A
ITE00100554,231,159,390,,,,,,45.4717,9.1892
17630522,231,159,390,,,,,,#N/A,#N/A
ITE00100554,231,159,390,,,,,,45.4717,9.1892
17630523,200,165,365,,,,,,#N/A,#N/A
ITE00100554,200,165,365,,,,,,45.4717,9.1892
17630524,212,159,371,,,,,,#N/A,#N/A
ITE00100554,212,159,371,,,,,,45.4717,9.1892
17630525,231,165,396,,,,,,#N/A,#N/A
ITE00100554,231,165,396,,,,,,45.4717,9.1892
17630526,219,171,390,,,,,,#N/A,#N/A
ITE00100554,219,171,390,,,,,,45.4717,9.1892
17630527,225,155,380,,,,,,#N/A,#N/A
ITE00100554,225,155,380,,,,,,45.4717,9.1892
17630528,210,178,388,,,,,,#N/A,#N/A
ITE00100554,210,178,388,,,,,,45.4717,9.1892
17630529,186,154,340,,,,,,#N/A,#N/A
ITE00100554,186,154,340,,,,,,45.4717,9.1892
17630530,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17630531,172,140,312,,,,,,#N/A,#N/A
ITE00100554,172,140,312,,,,,,45.4717,9.1892
17630601,179,147,326,,,,,,#N/A,#N/A
ITE00100554,179,147,326,,,,,,45.4717,9.1892
17630602,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17630603,215,157,372,,,,,,#N/A,#N/A
ITE00100554,215,157,372,,,,,,45.4717,9.1892
17630604,214,156,370,,,,,,#N/A,#N/A
ITE00100554,214,156,370,,,,,,45.4717,9.1892
17630605,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17630606,224,154,378,,,,,,#N/A,#N/A
ITE00100554,224,154,378,,,,,,45.4717,9.1892
17630607,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17630608,177,145,322,,,,,,#N/A,#N/A
ITE00100554,177,145,322,,,,,,45.4717,9.1892
17630609,185,153,338,,,,,,#N/A,#N/A
ITE00100554,185,153,338,,,,,,45.4717,9.1892
17630610,181,149,330,,,,,,#N/A,#N/A
ITE00100554,181,149,330,,,,,,45.4717,9.1892
17630611,212,140,352,,,,,,#N/A,#N/A
ITE00100554,212,140,352,,,,,,45.4717,9.1892
17630612,222,150,372,,,,,,#N/A,#N/A
ITE00100554,222,150,372,,,,,,45.4717,9.1892
17630613,229,171,400,,,,,,#N/A,#N/A
ITE00100554,229,171,400,,,,,,45.4717,9.1892
17630614,238,180,418,,,,,,#N/A,#N/A
ITE00100554,238,180,418,,,,,,45.4717,9.1892
17630615,266,194,460,,,,,,#N/A,#N/A
ITE00100554,266,194,460,,,,,,45.4717,9.1892
17630616,247,199,446,,,,,,#N/A,#N/A
ITE00100554,247,199,446,,,,,,45.4717,9.1892
17630617,187,153,340,,,,,,#N/A,#N/A
ITE00100554,187,153,340,,,,,,45.4717,9.1892
17630618,213,155,368,,,,,,#N/A,#N/A
ITE00100554,213,155,368,,,,,,45.4717,9.1892
17630619,246,174,420,,,,,,#N/A,#N/A
ITE00100554,246,174,420,,,,,,45.4717,9.1892
17630620,235,177,412,,,,,,#N/A,#N/A
ITE00100554,235,177,412,,,,,,45.4717,9.1892
17630621,265,205,470,,,,,,#N/A,#N/A
ITE00100554,265,205,470,,,,,,45.4717,9.1892
17630622,236,202,438,,,,,,#N/A,#N/A
ITE00100554,236,202,438,,,,,,45.4717,9.1892
17630623,250,178,428,,,,,,#N/A,#N/A
ITE00100554,250,178,428,,,,,,45.4717,9.1892
17630624,253,193,446,,,,,,#N/A,#N/A
ITE00100554,253,193,446,,,,,,45.4717,9.1892
17630625,277,205,482,,,,,,#N/A,#N/A
ITE00100554,277,205,482,,,,,,45.4717,9.1892
17630626,276,202,478,,,,,,#N/A,#N/A
ITE00100554,276,202,478,,,,,,45.4717,9.1892
17630627,255,195,450,,,,,,#N/A,#N/A
ITE00100554,255,195,450,,,,,,45.4717,9.1892
17630628,281,207,488,,,,,,#N/A,#N/A
ITE00100554,281,207,488,,,,,,45.4717,9.1892
17630629,290,230,520,,,,,,#N/A,#N/A
ITE00100554,290,230,520,,,,,,45.4717,9.1892
17630630,302,228,530,,,,,,#N/A,#N/A
ITE00100554,302,228,530,,,,,,45.4717,9.1892
17630701,228,194,422,,,,,,#N/A,#N/A
ITE00100554,228,194,422,,,,,,45.4717,9.1892
17630702,255,181,436,,,,,,#N/A,#N/A
ITE00100554,255,181,436,,,,,,45.4717,9.1892
17630703,278,204,482,,,,,,#N/A,#N/A
ITE00100554,278,204,482,,,,,,45.4717,9.1892
17630704,287,213,500,,,,,,#N/A,#N/A
ITE00100554,287,213,500,,,,,,45.4717,9.1892
17630705,283,223,506,,,,,,#N/A,#N/A
ITE00100554,283,223,506,,,,,,45.4717,9.1892
17630706,249,189,438,,,,,,#N/A,#N/A
ITE00100554,249,189,438,,,,,,45.4717,9.1892
17630707,283,209,492,,,,,,#N/A,#N/A
ITE00100554,283,209,492,,,,,,45.4717,9.1892
17630708,296,222,518,,,,,,#N/A,#N/A
ITE00100554,296,222,518,,,,,,45.4717,9.1892
17630709,281,207,488,,,,,,#N/A,#N/A
ITE00100554,281,207,488,,,,,,45.4717,9.1892
17630710,283,207,490,,,,,,#N/A,#N/A
ITE00100554,283,207,490,,,,,,45.4717,9.1892
17630711,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17630712,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17630713,307,231,538,,,,,,#N/A,#N/A
ITE00100554,307,231,538,,,,,,45.4717,9.1892
17630714,297,221,518,,,,,,#N/A,#N/A
ITE00100554,297,221,518,,,,,,45.4717,9.1892
17630715,309,233,542,,,,,,#N/A,#N/A
ITE00100554,309,233,542,,,,,,45.4717,9.1892
17630716,271,195,466,,,,,,#N/A,#N/A
ITE00100554,271,195,466,,,,,,45.4717,9.1892
17630717,272,196,468,,,,,,#N/A,#N/A
ITE00100554,272,196,468,,,,,,45.4717,9.1892
17630718,262,200,462,,,,,,#N/A,#N/A
ITE00100554,262,200,462,,,,,,45.4717,9.1892
17630719,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17630720,292,216,508,,,,,,#N/A,#N/A
ITE00100554,292,216,508,,,,,,45.4717,9.1892
17630721,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17630722,273,197,470,,,,,,#N/A,#N/A
ITE00100554,273,197,470,,,,,,45.4717,9.1892
17630723,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17630724,229,193,422,,,,,,#N/A,#N/A
ITE00100554,229,193,422,,,,,,45.4717,9.1892
17630725,254,178,432,,,,,,#N/A,#N/A
ITE00100554,254,178,432,,,,,,45.4717,9.1892
17630726,267,191,458,,,,,,#N/A,#N/A
ITE00100554,267,191,458,,,,,,45.4717,9.1892
17630727,276,214,490,,,,,,#N/A,#N/A
ITE00100554,276,214,490,,,,,,45.4717,9.1892
17630728,283,207,490,,,,,,#N/A,#N/A
ITE00100554,283,207,490,,,,,,45.4717,9.1892
17630729,283,207,490,,,,,,#N/A,#N/A
ITE00100554,283,207,490,,,,,,45.4717,9.1892
17630730,290,228,518,,,,,,#N/A,#N/A
ITE00100554,290,228,518,,,,,,45.4717,9.1892
17630731,251,189,440,,,,,,#N/A,#N/A
ITE00100554,251,189,440,,,,,,45.4717,9.1892
17630801,256,180,436,,,,,,#N/A,#N/A
ITE00100554,256,180,436,,,,,,45.4717,9.1892
17630802,279,203,482,,,,,,#N/A,#N/A
ITE00100554,279,203,482,,,,,,45.4717,9.1892
17630803,294,218,512,,,,,,#N/A,#N/A
ITE00100554,294,218,512,,,,,,45.4717,9.1892
17630804,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17630805,291,215,506,,,,,,#N/A,#N/A
ITE00100554,291,215,506,,,,,,45.4717,9.1892
17630806,281,219,500,,,,,,#N/A,#N/A
ITE00100554,281,219,500,,,,,,45.4717,9.1892
17630807,271,209,480,,,,,,#N/A,#N/A
ITE00100554,271,209,480,,,,,,45.4717,9.1892
17630808,246,170,416,,,,,,#N/A,#N/A
ITE00100554,246,170,416,,,,,,45.4717,9.1892
17630809,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17630810,267,191,458,,,,,,#N/A,#N/A
ITE00100554,267,191,458,,,,,,45.4717,9.1892
17630811,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17630812,291,215,506,,,,,,#N/A,#N/A
ITE00100554,291,215,506,,,,,,45.4717,9.1892
17630813,298,222,520,,,,,,#N/A,#N/A
ITE00100554,298,222,520,,,,,,45.4717,9.1892
17630814,259,223,482,,,,,,#N/A,#N/A
ITE00100554,259,223,482,,,,,,45.4717,9.1892
17630815,218,182,400,,,,,,#N/A,#N/A
ITE00100554,218,182,400,,,,,,45.4717,9.1892
17630816,241,179,420,,,,,,#N/A,#N/A
ITE00100554,241,179,420,,,,,,45.4717,9.1892
17630817,273,197,470,,,,,,#N/A,#N/A
ITE00100554,273,197,470,,,,,,45.4717,9.1892
17630818,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17630819,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17630820,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17630821,292,230,522,,,,,,#N/A,#N/A
ITE00100554,292,230,522,,,,,,45.4717,9.1892
17630822,287,225,512,,,,,,#N/A,#N/A
ITE00100554,287,225,512,,,,,,45.4717,9.1892
17630823,296,222,518,,,,,,#N/A,#N/A
ITE00100554,296,222,518,,,,,,45.4717,9.1892
17630824,295,221,516,,,,,,#N/A,#N/A
ITE00100554,295,221,516,,,,,,45.4717,9.1892
17630825,286,226,512,,,,,,#N/A,#N/A
ITE00100554,286,226,512,,,,,,45.4717,9.1892
17630826,265,191,456,,,,,,#N/A,#N/A
ITE00100554,265,191,456,,,,,,45.4717,9.1892
17630827,265,191,456,,,,,,#N/A,#N/A
ITE00100554,265,191,456,,,,,,45.4717,9.1892
17630828,262,188,450,,,,,,#N/A,#N/A
ITE00100554,262,188,450,,,,,,45.4717,9.1892
17630829,262,188,450,,,,,,#N/A,#N/A
ITE00100554,262,188,450,,,,,,45.4717,9.1892
17630830,255,205,460,,,,,,#N/A,#N/A
ITE00100554,255,205,460,,,,,,45.4717,9.1892
17630831,248,214,462,,,,,,#N/A,#N/A
ITE00100554,248,214,462,,,,,,45.4717,9.1892
17630901,231,197,428,,,,,,#N/A,#N/A
ITE00100554,231,197,428,,,,,,45.4717,9.1892
17630902,224,152,376,,,,,,#N/A,#N/A
ITE00100554,224,152,376,,,,,,45.4717,9.1892
17630903,207,173,380,,,,,,#N/A,#N/A
ITE00100554,207,173,380,,,,,,45.4717,9.1892
17630904,212,164,376,,,,,,#N/A,#N/A
ITE00100554,212,164,376,,,,,,45.4717,9.1892
17630905,226,154,380,,,,,,#N/A,#N/A
ITE00100554,226,154,380,,,,,,45.4717,9.1892
17630906,246,174,420,,,,,,#N/A,#N/A
ITE00100554,246,174,420,,,,,,45.4717,9.1892
17630907,245,175,420,,,,,,#N/A,#N/A
ITE00100554,245,175,420,,,,,,45.4717,9.1892
17630908,229,171,400,,,,,,#N/A,#N/A
ITE00100554,229,171,400,,,,,,45.4717,9.1892
17630909,194,162,356,,,,,,#N/A,#N/A
ITE00100554,194,162,356,,,,,,45.4717,9.1892
17630910,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17630911,224,168,392,,,,,,#N/A,#N/A
ITE00100554,224,168,392,,,,,,45.4717,9.1892
17630912,182,150,332,,,,,,#N/A,#N/A
ITE00100554,182,150,332,,,,,,45.4717,9.1892
17630913,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17630914,205,137,342,,,,,,#N/A,#N/A
ITE00100554,205,137,342,,,,,,45.4717,9.1892
17630915,205,137,342,,,,,,#N/A,#N/A
ITE00100554,205,137,342,,,,,,45.4717,9.1892
17630916,199,131,330,,,,,,#N/A,#N/A
