Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
ITE00100554,32,0,32,,,,,,45.4717,9.1892
17670206,37,5,42,,,,,,#N/A,#N/A
ITE00100554,37,5,42,,,,,,45.4717,9.1892
17670207,42,10,52,,,,,,#N/A,#N/A
ITE00100554,42,10,52,,,,,,45.4717,9.1892
17670208,47,15,62,,,,,,#N/A,#N/A
ITE00100554,47,15,62,,,,,,45.4717,9.1892
17670209,49,9,58,,,,,,#N/A,#N/A
ITE00100554,49,9,58,,,,,,45.4717,9.1892
17670210,13,-21,-8,,,,,,#N/A,#N/A
ITE00100554,13,-21,-8,,,,,,45.4717,9.1892
17670211,44,-6,38,,,,,,#N/A,#N/A
ITE00100554,44,-6,38,,,,,,45.4717,9.1892
17670212,25,1,26,,,,,,#N/A,#N/A
ITE00100554,25,1,26,,,,,,45.4717,9.1892
17670213,50,16,66,,,,,,#N/A,#N/A
ITE00100554,50,16,66,,,,,,45.4717,9.1892
17670214,42,8,50,,,,,,#N/A,#N/A
ITE00100554,42,8,50,,,,,,45.4717,9.1892
17670215,56,20,76,,,,,,#N/A,#N/A
ITE00100554,56,20,76,,,,,,45.4717,9.1892
17670216,76,40,116,,,,,,#N/A,#N/A
ITE00100554,76,40,116,,,,,,45.4717,9.1892
17670217,71,35,106,,,,,,#N/A,#N/A
ITE00100554,71,35,106,,,,,,45.4717,9.1892
17670218,87,51,138,,,,,,#N/A,#N/A
ITE00100554,87,51,138,,,,,,45.4717,9.1892
17670219,88,62,150,,,,,,#N/A,#N/A
ITE00100554,88,62,150,,,,,,45.4717,9.1892
17670220,89,53,142,,,,,,#N/A,#N/A
ITE00100554,89,53,142,,,,,,45.4717,9.1892
17670221,97,59,156,,,,,,#N/A,#N/A
ITE00100554,97,59,156,,,,,,45.4717,9.1892
17670222,87,61,148,,,,,,#N/A,#N/A
ITE00100554,87,61,148,,,,,,45.4717,9.1892
17670223,99,53,152,,,,,,#N/A,#N/A
ITE00100554,99,53,152,,,,,,45.4717,9.1892
17670224,111,65,176,,,,,,#N/A,#N/A
ITE00100554,111,65,176,,,,,,45.4717,9.1892
17670225,93,35,128,,,,,,#N/A,#N/A
ITE00100554,93,35,128,,,,,,45.4717,9.1892
17670226,112,54,166,,,,,,#N/A,#N/A
ITE00100554,112,54,166,,,,,,45.4717,9.1892
17670227,118,70,188,,,,,,#N/A,#N/A
ITE00100554,118,70,188,,,,,,45.4717,9.1892
17670228,115,67,182,,,,,,#N/A,#N/A
ITE00100554,115,67,182,,,,,,45.4717,9.1892
17670301,100,40,140,,,,,,#N/A,#N/A
ITE00100554,100,40,140,,,,,,45.4717,9.1892
17670302,108,48,156,,,,,,#N/A,#N/A
ITE00100554,108,48,156,,,,,,45.4717,9.1892
17670303,106,56,162,,,,,,#N/A,#N/A
ITE00100554,106,56,162,,,,,,45.4717,9.1892
17670304,105,55,160,,,,,,#N/A,#N/A
ITE00100554,105,55,160,,,,,,45.4717,9.1892
17670305,109,49,158,,,,,,#N/A,#N/A
ITE00100554,109,49,158,,,,,,45.4717,9.1892
17670306,89,27,116,,,,,,#N/A,#N/A
ITE00100554,89,27,116,,,,,,45.4717,9.1892
17670307,91,29,120,,,,,,#N/A,#N/A
ITE00100554,91,29,120,,,,,,45.4717,9.1892
17670308,102,40,142,,,,,,#N/A,#N/A
ITE00100554,102,40,142,,,,,,45.4717,9.1892
17670309,101,39,140,,,,,,#N/A,#N/A
ITE00100554,101,39,140,,,,,,45.4717,9.1892
17670310,101,49,150,,,,,,#N/A,#N/A
ITE00100554,101,49,150,,,,,,45.4717,9.1892
17670311,96,54,150,,,,,,#N/A,#N/A
ITE00100554,96,54,150,,,,,,45.4717,9.1892
17670312,96,54,150,,,,,,#N/A,#N/A
ITE00100554,96,54,150,,,,,,45.4717,9.1892
17670313,103,39,142,,,,,,#N/A,#N/A
ITE00100554,103,39,142,,,,,,45.4717,9.1892
17670314,107,55,162,,,,,,#N/A,#N/A
ITE00100554,107,55,162,,,,,,45.4717,9.1892
17670315,96,66,162,,,,,,#N/A,#N/A
ITE00100554,96,66,162,,,,,,45.4717,9.1892
17670316,95,43,138,,,,,,#N/A,#N/A
ITE00100554,95,43,138,,,,,,45.4717,9.1892
17670317,72,20,92,,,,,,#N/A,#N/A
ITE00100554,72,20,92,,,,,,45.4717,9.1892
17670318,106,42,148,,,,,,#N/A,#N/A
ITE00100554,106,42,148,,,,,,45.4717,9.1892
17670319,121,55,176,,,,,,#N/A,#N/A
ITE00100554,121,55,176,,,,,,45.4717,9.1892
17670320,133,67,200,,,,,,#N/A,#N/A
ITE00100554,133,67,200,,,,,,45.4717,9.1892
17670321,147,81,228,,,,,,#N/A,#N/A
ITE00100554,147,81,228,,,,,,45.4717,9.1892
17670322,128,98,226,,,,,,#N/A,#N/A
ITE00100554,128,98,226,,,,,,45.4717,9.1892
17670323,116,50,166,,,,,,#N/A,#N/A
ITE00100554,116,50,166,,,,,,45.4717,9.1892
17670324,100,70,170,,,,,,#N/A,#N/A
ITE00100554,100,70,170,,,,,,45.4717,9.1892
17670325,112,58,170,,,,,,#N/A,#N/A
ITE00100554,112,58,170,,,,,,45.4717,9.1892
17670326,97,43,140,,,,,,#N/A,#N/A
ITE00100554,97,43,140,,,,,,45.4717,9.1892
17670327,116,72,188,,,,,,#N/A,#N/A
ITE00100554,116,72,188,,,,,,45.4717,9.1892
17670328,123,57,180,,,,,,#N/A,#N/A
ITE00100554,123,57,180,,,,,,45.4717,9.1892
17670329,123,69,192,,,,,,#N/A,#N/A
ITE00100554,123,69,192,,,,,,45.4717,9.1892
17670330,154,88,242,,,,,,#N/A,#N/A
ITE00100554,154,88,242,,,,,,45.4717,9.1892
17670331,162,94,256,,,,,,#N/A,#N/A
ITE00100554,162,94,256,,,,,,45.4717,9.1892
17670401,169,123,292,,,,,,#N/A,#N/A
ITE00100554,169,123,292,,,,,,45.4717,9.1892
17670402,175,107,282,,,,,,#N/A,#N/A
ITE00100554,175,107,282,,,,,,45.4717,9.1892
17670403,147,79,226,,,,,,#N/A,#N/A
ITE00100554,147,79,226,,,,,,45.4717,9.1892
17670404,116,84,200,,,,,,#N/A,#N/A
ITE00100554,116,84,200,,,,,,45.4717,9.1892
17670405,107,61,168,,,,,,#N/A,#N/A
ITE00100554,107,61,168,,,,,,45.4717,9.1892
17670406,134,66,200,,,,,,#N/A,#N/A
ITE00100554,134,66,200,,,,,,45.4717,9.1892
17670407,138,70,208,,,,,,#N/A,#N/A
ITE00100554,138,70,208,,,,,,45.4717,9.1892
17670408,153,97,250,,,,,,#N/A,#N/A
ITE00100554,153,97,250,,,,,,45.4717,9.1892
17670409,147,79,226,,,,,,#N/A,#N/A
ITE00100554,147,79,226,,,,,,45.4717,9.1892
17670410,147,91,238,,,,,,#N/A,#N/A
ITE00100554,147,91,238,,,,,,45.4717,9.1892
17670411,153,85,238,,,,,,#N/A,#N/A
ITE00100554,153,85,238,,,,,,45.4717,9.1892
17670412,165,97,262,,,,,,#N/A,#N/A
ITE00100554,165,97,262,,,,,,45.4717,9.1892
17670413,184,116,300,,,,,,#N/A,#N/A
ITE00100554,184,116,300,,,,,,45.4717,9.1892
17670414,180,112,292,,,,,,#N/A,#N/A
ITE00100554,180,112,292,,,,,,45.4717,9.1892
17670415,180,112,292,,,,,,#N/A,#N/A
ITE00100554,180,112,292,,,,,,45.4717,9.1892
17670416,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17670417,104,72,176,,,,,,#N/A,#N/A
ITE00100554,104,72,176,,,,,,45.4717,9.1892
17670418,85,53,138,,,,,,#N/A,#N/A
ITE00100554,85,53,138,,,,,,45.4717,9.1892
17670419,93,37,130,,,,,,#N/A,#N/A
ITE00100554,93,37,130,,,,,,45.4717,9.1892
17670420,95,63,158,,,,,,#N/A,#N/A
ITE00100554,95,63,158,,,,,,45.4717,9.1892
17670421,117,49,166,,,,,,#N/A,#N/A
ITE00100554,117,49,166,,,,,,45.4717,9.1892
17670422,117,85,202,,,,,,#N/A,#N/A
ITE00100554,117,85,202,,,,,,45.4717,9.1892
17670423,138,82,220,,,,,,#N/A,#N/A
ITE00100554,138,82,220,,,,,,45.4717,9.1892
17670424,119,87,206,,,,,,#N/A,#N/A
ITE00100554,119,87,206,,,,,,45.4717,9.1892
17670425,137,69,206,,,,,,#N/A,#N/A
ITE00100554,137,69,206,,,,,,45.4717,9.1892
17670426,168,100,268,,,,,,#N/A,#N/A
ITE00100554,168,100,268,,,,,,45.4717,9.1892
17670427,144,98,242,,,,,,#N/A,#N/A
ITE00100554,144,98,242,,,,,,45.4717,9.1892
17670428,150,118,268,,,,,,#N/A,#N/A
ITE00100554,150,118,268,,,,,,45.4717,9.1892
17670429,153,107,260,,,,,,#N/A,#N/A
ITE00100554,153,107,260,,,,,,45.4717,9.1892
17670430,153,97,250,,,,,,#N/A,#N/A
ITE00100554,153,97,250,,,,,,45.4717,9.1892
17670501,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17670502,153,97,250,,,,,,#N/A,#N/A
ITE00100554,153,97,250,,,,,,45.4717,9.1892
17670503,178,110,288,,,,,,#N/A,#N/A
ITE00100554,178,110,288,,,,,,45.4717,9.1892
17670504,138,82,220,,,,,,#N/A,#N/A
ITE00100554,138,82,220,,,,,,45.4717,9.1892
17670505,162,106,268,,,,,,#N/A,#N/A
ITE00100554,162,106,268,,,,,,45.4717,9.1892
17670506,158,102,260,,,,,,#N/A,#N/A
ITE00100554,158,102,260,,,,,,45.4717,9.1892
17670507,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17670508,148,80,228,,,,,,#N/A,#N/A
ITE00100554,148,80,228,,,,,,45.4717,9.1892
17670509,167,111,278,,,,,,#N/A,#N/A
ITE00100554,167,111,278,,,,,,45.4717,9.1892
17670510,191,135,326,,,,,,#N/A,#N/A
ITE00100554,191,135,326,,,,,,45.4717,9.1892
17670511,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17670512,191,135,326,,,,,,#N/A,#N/A
ITE00100554,191,135,326,,,,,,45.4717,9.1892
17670513,199,143,342,,,,,,#N/A,#N/A
ITE00100554,199,143,342,,,,,,45.4717,9.1892
17670514,209,141,350,,,,,,#N/A,#N/A
ITE00100554,209,141,350,,,,,,45.4717,9.1892
17670515,228,160,388,,,,,,#N/A,#N/A
ITE00100554,228,160,388,,,,,,45.4717,9.1892
17670516,206,174,380,,,,,,#N/A,#N/A
ITE00100554,206,174,380,,,,,,45.4717,9.1892
17670517,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17670518,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17670519,207,151,358,,,,,,#N/A,#N/A
ITE00100554,207,151,358,,,,,,45.4717,9.1892
17670520,223,153,376,,,,,,#N/A,#N/A
ITE00100554,223,153,376,,,,,,45.4717,9.1892
17670521,222,166,388,,,,,,#N/A,#N/A
ITE00100554,222,166,388,,,,,,45.4717,9.1892
17670522,221,175,396,,,,,,#N/A,#N/A
ITE00100554,221,175,396,,,,,,45.4717,9.1892
17670523,222,166,388,,,,,,#N/A,#N/A
ITE00100554,222,166,388,,,,,,45.4717,9.1892
17670524,209,153,362,,,,,,#N/A,#N/A
ITE00100554,209,153,362,,,,,,45.4717,9.1892
17670525,162,130,292,,,,,,#N/A,#N/A
ITE00100554,162,130,292,,,,,,45.4717,9.1892
17670526,191,121,312,,,,,,#N/A,#N/A
ITE00100554,191,121,312,,,,,,45.4717,9.1892
17670527,211,155,366,,,,,,#N/A,#N/A
ITE00100554,211,155,366,,,,,,45.4717,9.1892
17670528,195,163,358,,,,,,#N/A,#N/A
ITE00100554,195,163,358,,,,,,45.4717,9.1892
17670529,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17670530,179,109,288,,,,,,#N/A,#N/A
ITE00100554,179,109,288,,,,,,45.4717,9.1892
17670531,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17670601,172,140,312,,,,,,#N/A,#N/A
ITE00100554,172,140,312,,,,,,45.4717,9.1892
17670602,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17670603,210,152,362,,,,,,#N/A,#N/A
ITE00100554,210,152,362,,,,,,45.4717,9.1892
17670604,179,147,326,,,,,,#N/A,#N/A
ITE00100554,179,147,326,,,,,,45.4717,9.1892
17670605,244,174,418,,,,,,#N/A,#N/A
ITE00100554,244,174,418,,,,,,45.4717,9.1892
17670606,229,159,388,,,,,,#N/A,#N/A
ITE00100554,229,159,388,,,,,,45.4717,9.1892
17670607,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17670608,254,184,438,,,,,,#N/A,#N/A
ITE00100554,254,184,438,,,,,,45.4717,9.1892
17670609,269,199,468,,,,,,#N/A,#N/A
ITE00100554,269,199,468,,,,,,45.4717,9.1892
17670610,248,190,438,,,,,,#N/A,#N/A
ITE00100554,248,190,438,,,,,,45.4717,9.1892
17670611,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17670612,230,158,388,,,,,,#N/A,#N/A
ITE00100554,230,158,388,,,,,,45.4717,9.1892
17670613,237,165,402,,,,,,#N/A,#N/A
ITE00100554,237,165,402,,,,,,45.4717,9.1892
17670614,237,179,416,,,,,,#N/A,#N/A
ITE00100554,237,179,416,,,,,,45.4717,9.1892
17670615,217,183,400,,,,,,#N/A,#N/A
ITE00100554,217,183,400,,,,,,45.4717,9.1892
17670616,175,141,316,,,,,,#N/A,#N/A
ITE00100554,175,141,316,,,,,,45.4717,9.1892
17670617,199,141,340,,,,,,#N/A,#N/A
ITE00100554,199,141,340,,,,,,45.4717,9.1892
17670618,197,163,360,,,,,,#N/A,#N/A
ITE00100554,197,163,360,,,,,,45.4717,9.1892
17670619,204,146,350,,,,,,#N/A,#N/A
ITE00100554,204,146,350,,,,,,45.4717,9.1892
17670620,183,149,332,,,,,,#N/A,#N/A
ITE00100554,183,149,332,,,,,,45.4717,9.1892
17670621,192,158,350,,,,,,#N/A,#N/A
ITE00100554,192,158,350,,,,,,45.4717,9.1892
17670622,214,166,380,,,,,,#N/A,#N/A
ITE00100554,214,166,380,,,,,,45.4717,9.1892
17670623,230,158,388,,,,,,#N/A,#N/A
ITE00100554,230,158,388,,,,,,45.4717,9.1892
17670624,240,168,408,,,,,,#N/A,#N/A
ITE00100554,240,168,408,,,,,,45.4717,9.1892
17670625,221,149,370,,,,,,#N/A,#N/A
ITE00100554,221,149,370,,,,,,45.4717,9.1892
17670626,278,204,482,,,,,,#N/A,#N/A
ITE00100554,278,204,482,,,,,,45.4717,9.1892
17670627,287,213,500,,,,,,#N/A,#N/A
ITE00100554,287,213,500,,,,,,45.4717,9.1892
17670628,293,219,512,,,,,,#N/A,#N/A
ITE00100554,293,219,512,,,,,,45.4717,9.1892
17670629,286,226,512,,,,,,#N/A,#N/A
ITE00100554,286,226,512,,,,,,45.4717,9.1892
17670630,255,221,476,,,,,,#N/A,#N/A
ITE00100554,255,221,476,,,,,,45.4717,9.1892
17670701,268,208,476,,,,,,#N/A,#N/A
ITE00100554,268,208,476,,,,,,45.4717,9.1892
17670702,256,222,478,,,,,,#N/A,#N/A
ITE00100554,256,222,478,,,,,,45.4717,9.1892
17670703,265,215,480,,,,,,#N/A,#N/A
ITE00100554,265,215,480,,,,,,45.4717,9.1892
17670704,281,207,488,,,,,,#N/A,#N/A
ITE00100554,281,207,488,,,,,,45.4717,9.1892
17670705,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17670706,270,196,466,,,,,,#N/A,#N/A
ITE00100554,270,196,466,,,,,,45.4717,9.1892
17670707,285,211,496,,,,,,#N/A,#N/A
ITE00100554,285,211,496,,,,,,45.4717,9.1892
17670708,296,222,518,,,,,,#N/A,#N/A
ITE00100554,296,222,518,,,,,,45.4717,9.1892
17670709,300,226,526,,,,,,#N/A,#N/A
ITE00100554,300,226,526,,,,,,45.4717,9.1892
17670710,292,216,508,,,,,,#N/A,#N/A
ITE00100554,292,216,508,,,,,,45.4717,9.1892
17670711,289,213,502,,,,,,#N/A,#N/A
ITE00100554,289,213,502,,,,,,45.4717,9.1892
17670712,281,219,500,,,,,,#N/A,#N/A
ITE00100554,281,219,500,,,,,,45.4717,9.1892
17670713,279,203,482,,,,,,#N/A,#N/A
ITE00100554,279,203,482,,,,,,45.4717,9.1892
17670714,286,210,496,,,,,,#N/A,#N/A
ITE00100554,286,210,496,,,,,,45.4717,9.1892
17670715,275,213,488,,,,,,#N/A,#N/A
ITE00100554,275,213,488,,,,,,45.4717,9.1892
17670716,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17670717,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17670718,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670719,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670720,287,225,512,,,,,,#N/A,#N/A
ITE00100554,287,225,512,,,,,,45.4717,9.1892
17670721,271,235,506,,,,,,#N/A,#N/A
ITE00100554,271,235,506,,,,,,45.4717,9.1892
17670722,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17670723,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17670724,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670725,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670726,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17670727,291,215,506,,,,,,#N/A,#N/A
ITE00100554,291,215,506,,,,,,45.4717,9.1892
17670728,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670729,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670730,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670731,291,215,506,,,,,,#N/A,#N/A
ITE00100554,291,215,506,,,,,,45.4717,9.1892
17670801,218,182,400,,,,,,#N/A,#N/A
ITE00100554,218,182,400,,,,,,45.4717,9.1892
17670802,237,175,412,,,,,,#N/A,#N/A
ITE00100554,237,175,412,,,,,,45.4717,9.1892
17670803,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17670804,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17670805,288,212,500,,,,,,#N/A,#N/A
ITE00100554,288,212,500,,,,,,45.4717,9.1892
17670806,281,219,500,,,,,,#N/A,#N/A
ITE00100554,281,219,500,,,,,,45.4717,9.1892
17670807,271,235,506,,,,,,#N/A,#N/A
ITE00100554,271,235,506,,,,,,45.4717,9.1892
17670808,251,175,426,,,,,,#N/A,#N/A
ITE00100554,251,175,426,,,,,,45.4717,9.1892
17670809,261,185,446,,,,,,#N/A,#N/A
ITE00100554,261,185,446,,,,,,45.4717,9.1892
17670810,285,221,506,,,,,,#N/A,#N/A
ITE00100554,285,221,506,,,,,,45.4717,9.1892
17670811,298,222,520,,,,,,#N/A,#N/A
ITE00100554,298,222,520,,,,,,45.4717,9.1892
17670812,298,222,520,,,,,,#N/A,#N/A
ITE00100554,298,222,520,,,,,,45.4717,9.1892
17670813,301,239,540,,,,,,#N/A,#N/A
ITE00100554,301,239,540,,,,,,45.4717,9.1892
17670814,274,198,472,,,,,,#N/A,#N/A
ITE00100554,274,198,472,,,,,,45.4717,9.1892
17670815,265,203,468,,,,,,#N/A,#N/A
ITE00100554,265,203,468,,,,,,45.4717,9.1892
17670816,257,195,452,,,,,,#N/A,#N/A
ITE00100554,257,195,452,,,,,,45.4717,9.1892
17670817,253,177,430,,,,,,#N/A,#N/A
ITE00100554,253,177,430,,,,,,45.4717,9.1892
17670818,251,189,440,,,,,,#N/A,#N/A
ITE00100554,251,189,440,,,,,,45.4717,9.1892
17670819,225,163,388,,,,,,#N/A,#N/A
ITE00100554,225,163,388,,,,,,45.4717,9.1892
17670820,236,160,396,,,,,,#N/A,#N/A
ITE00100554,236,160,396,,,,,,45.4717,9.1892
17670821,219,157,376,,,,,,#N/A,#N/A
ITE00100554,219,157,376,,,,,,45.4717,9.1892
17670822,234,158,392,,,,,,#N/A,#N/A
ITE00100554,234,158,392,,,,,,45.4717,9.1892
17670823,212,138,350,,,,,,#N/A,#N/A
ITE00100554,212,138,350,,,,,,45.4717,9.1892
17670824,218,144,362,,,,,,#N/A,#N/A
ITE00100554,218,144,362,,,,,,45.4717,9.1892
17670825,231,157,388,,,,,,#N/A,#N/A
ITE00100554,231,157,388,,,,,,45.4717,9.1892
17670826,246,172,418,,,,,,#N/A,#N/A
ITE00100554,246,172,418,,,,,,45.4717,9.1892
17670827,250,176,426,,,,,,#N/A,#N/A
ITE00100554,250,176,426,,,,,,45.4717,9.1892
17670828,245,171,416,,,,,,#N/A,#N/A
ITE00100554,245,171,416,,,,,,45.4717,9.1892
17670829,243,169,412,,,,,,#N/A,#N/A
ITE00100554,243,169,412,,,,,,45.4717,9.1892
17670830,236,176,412,,,,,,#N/A,#N/A
ITE00100554,236,176,412,,,,,,45.4717,9.1892
17670831,245,171,416,,,,,,#N/A,#N/A
ITE00100554,245,171,416,,,,,,45.4717,9.1892
17670901,173,139,312,,,,,,#N/A,#N/A
ITE00100554,173,139,312,,,,,,45.4717,9.1892
17670902,186,126,312,,,,,,#N/A,#N/A
ITE00100554,186,126,312,,,,,,45.4717,9.1892
17670903,160,102,262,,,,,,#N/A,#N/A
ITE00100554,160,102,262,,,,,,45.4717,9.1892
17670904,182,110,292,,,,,,#N/A,#N/A
ITE00100554,182,110,292,,,,,,45.4717,9.1892
17670905,180,108,288,,,,,,#N/A,#N/A
ITE00100554,180,108,288,,,,,,45.4717,9.1892
17670906,255,183,438,,,,,,#N/A,#N/A
ITE00100554,255,183,438,,,,,,45.4717,9.1892
17670907,248,190,438,,,,,,#N/A,#N/A
ITE00100554,248,190,438,,,,,,45.4717,9.1892
17670908,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17670909,244,185,429,,,,,,#N/A,#N/A
ITE00100554,244,185,429,,,,,,45.4717,9.1892
17670910,250,179,429,,,,,,#N/A,#N/A
ITE00100554,250,179,429,,,,,,45.4717,9.1892
17670911,237,148,385,,,,,,#N/A,#N/A
ITE00100554,237,148,385,,,,,,45.4717,9.1892
17670912,231,148,379,,,,,,#N/A,#N/A
ITE00100554,231,148,379,,,,,,45.4717,9.1892
17670913,244,160,404,,,,,,#N/A,#N/A
ITE00100554,244,160,404,,,,,,45.4717,9.1892
17670914,225,191,416,,,,,,#N/A,#N/A
