Sum of Value,Column Labels,,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance,,,,,,,,
ASN00008286,0,0,0,0,,ASN00008202,-30.6219,116.3794,,-28.275,114.6761,,,,,,,,
ASN00008296,0,372,199,571,,ASN00008237,-28.6857,115.2806,,-29.2039,116.0247,,,,,,,,
ASN00008297,0,336,162,498,,ASN00008251,-27.7119,114.165,,-30.2761,116.6714,,,,,,,,
ASN00008298,0,0,0,0,,ASN00008286,-28.275,114.6761,,-28.7597,114.937,,,,,,,,
ASN00008299,0,0,0,0,,ASN00008296,-29.2039,116.0247,,-29.1103,115.3173,,,,,,,,
ASN00008300,0,0,0,0,,ASN00008297,-30.2761,116.6714,,-29.0692,115.0915,,,,,,,,
ASN00008304,0,0,0,0,,ASN00008298,-28.7597,114.937,,-28.9571,114.9492,,,,,,,,
ASN00008307,0,0,0,0,,ASN00008299,-29.1103,115.3173,,-28.89,115.4397,,,,,,,,
ASN00008308,0,0,0,0,,ASN00008300,-29.0692,115.0915,,-28.8,115.76,,,,,,,,
ASN00008309,0,0,0,0,,ASN00008304,-28.9571,114.9492,,-29.3,115.6597,,,,,,,,
ASN00008310,0,0,0,0,,ASN00008307,-28.89,115.4397,,-29.0291,115.5548,,,,,,,,
ASN00009021,0,303,156,459,,ASN00008308,-28.8,115.76,,-31.9275,115.9764,,,,,,,,
ASN00009023,0,0,0,0,,ASN00008309,-29.3,115.6597,,-32.3342,116.0755,,,,,,,,
ASN00009037,0,333,177,510,,ASN00008310,-29.0291,115.5548,,-30.3381,115.5394,,,,,,,,
ASN00009039,0,0,0,0,,ASN00009021,-31.9275,115.9764,,-32.3536,116.005,,,,,,,,
ASN00009053,0,319,174,493,,ASN00009023,-32.3342,116.0755,,-31.6669,116.0189,,,,,,,,
ASN00009066,0,0,0,0,,ASN00009037,-30.3381,115.5394,,-31.7908,116.1975,,,,,,,,
ASN00009111,0,290,156,446,,ASN00009039,-32.3536,116.005,,-32.44,116.0744,,,,,,,,
ASN00009131,0,266,184,450,,ASN00009053,-31.6669,116.0189,,-30.3081,115.0311,,,,,,,,
ASN00009172,0,278,160,438,,ASN00009066,-31.7908,116.1975,,-32.1011,115.8794,,,,,,,,
ASN00009178,0,300,165,465,,ASN00009111,-32.44,116.0744,,-31.4628,115.8642,,,,,,,,
ASN00009193,0,245,187,432,,ASN00009131,-30.3081,115.0311,,-32.0069,115.5022,,,,,,,,
ASN00009215,0,257,174,431,,ASN00009172,-32.1011,115.8794,,-31.9558,115.7619,,,,,,,,
ASN00009225,0,279,173,452,,ASN00009178,-31.4628,115.8642,,-31.9192,115.8728,,,,,,,,
ASN00009240,0,295,139,434,,ASN00009193,-32.0069,115.5022,,-32.0056,116.1364,,,,,,,,
ASN00009248,0,0,0,0,,ASN00009215,-31.9558,115.7619,,-31.332,115.9513,,,,,,,,
ASN00009256,0,240,179,419,,ASN00009225,-31.9192,115.8728,,-32.2433,115.6839,,,,,,,,
ASN00009258,0,0,0,0,,ASN00009240,-32.0056,116.1364,,-32.2156,115.8758,,,,,,,,
ASN00009260,0,0,0,0,,ASN00009248,-31.332,115.9513,,-32.4697,116.2143,,,,,,,,
ASN00009264,0,0,0,0,,ASN00009256,-32.2433,115.6839,,-31.7078,115.7242,,,,,,,,
ASN00009515,0,0,0,0,,ASN00009258,-32.2156,115.8758,,-33.6611,115.3456,,,,,,,,
ASN00009518,0,225,178,403,,ASN00009260,-32.4697,116.2143,,-34.3728,115.1358,,,,,,,,
ASN00009519,0,295,147,442,,ASN00009264,-31.7078,115.7242,,-33.5372,115.0189,,,,,,,,
ASN00009538,0,295,140,435,,ASN00009500,-35.0289,117.8808,,-32.7103,116.0594,,,,,,,,
ASN00009542,0,244,165,409,,ASN00009515,-33.6611,115.3456,,-33.6825,121.8275,,,,,,,,
ASN00009557,4,0,0,4,,ASN00009518,-34.3728,115.1358,,-33.9497,120.1258,,,,,,,,
ASN00009573,0,207,151,358,,ASN00009519,-33.5372,115.0189,,-34.2508,116.145,,,,,,,,
ASN00009579,0,0,0,0,,ASN00009538,-32.7103,116.0594,,-33.7633,122.0675,,,,,,,,
ASN00009603,0,275,126,401,,ASN00009542,-33.6825,121.8275,,-33.6858,115.4008,,,,,,,,
ASN00009617,0,237,158,395,,ASN00010043,-31.7661,116.9167,,-33.9486,116.1311,,,,,,,,
ASN00009619,0,0,0,0,,ASN00009557,-33.9497,120.1258,,-34.1519,116.2042,,,,,,,,
ASN00009626,0,0,0,0,,ASN00009573,-34.2508,116.145,,-33.7106,121.5619,,,,,,,,
ASN00009628,0,0,0,0,,ASN00009579,-33.7633,122.0675,,-33.36,116.1467,,,,,,,,
ASN00009633,16,0,0,16,,ASN00009592,-34.4478,116.0433,,-34.8644,118.1122,,,,,,,,
ASN00009635,6,0,0,6,,ASN00009603,-33.6858,115.4008,,-34.3633,117.0836,,,,,,,,
ASN00009754,0,0,0,0,,ASN00009617,-33.9486,116.1311,,-34.5961,118.5519,,,,,,,,
ASN00009769,0,0,0,0,,ASN00009619,-34.1519,116.2042,,-32.5698,116.4385,,,,,,,,
ASN00009776,0,0,0,0,,ASN00009626,-33.7106,121.5619,,-33.7931,115.3189,,,,,,,,
ASN00009789,0,220,173,393,,ASN00009628,-33.36,116.1467,,-33.83,121.8925,,,,,,,,
ASN00009805,3,0,0,3,,ASN00009633,-34.8644,118.1122,,-34.9769,116.7286,,,,,,,,
ASN00009813,0,0,0,0,,ASN00009635,-34.3633,117.0836,,-33.7297,122.755,,,,,,,,
ASN00009815,8,0,0,8,,ASN00009739,-33.6789,122.3311,,-33.8819,122.5661,,,,,,,,
ASN00009822,0,0,0,0,,ASN00009752,-34.7233,117.3494,,-33.7753,121.555,,,,,,,,
ASN00009831,22,0,0,22,,ASN00009754,-34.5961,118.5519,,-34.9267,117.8731,,,,,,,,
ASN00009842,0,280,115,395,,ASN00009769,-32.5698,116.4385,,-33.7964,115.6658,,,,,,,,
ASN00009852,0,0,0,0,,ASN00009776,-33.7931,115.3189,,-34.8883,118.3958,,,,,,,,
ASN00009868,6,0,0,6,,ASN00009784,-34.9319,117.1606,,-33.7078,120.8653,,,,,,,,
ASN00009871,16,202,165,383,,ASN00009789,-33.83,121.8925,,-34.8361,116.0308,,,,,,,,
ASN00009877,0,0,0,0,,ASN00009805,-34.9769,116.7286,,-33.6033,115.4983,,,,,,,,
ASN00009936,0,0,0,0,,ASN00009813,-33.7297,122.755,,-32.6239,116.0603,,,,,,,,
ASN00009961,2,191,167,360,,ASN00009815,-33.8819,122.5661,,-33.9306,120.1283,,,,,,,,
ASN00009964,12,186,148,346,,ASN00009822,-33.7753,121.555,,-34.5714,117.0106,,,,,,,,
ASN00009965,0,293,151,444,,ASN00009831,-34.9267,117.8731,,-33.3567,115.6447,,,,,,,,
ASN00009968,0,197,152,349,,ASN00009842,-33.7964,115.6658,,-34.5683,116.3367,,,,,,,,
ASN00009971,0,0,0,0,,ASN00009852,-34.8883,118.3958,,-33.7844,115.4075,,,,,,,,
ASN00009976,0,0,0,0,,ASN00009868,-33.7078,120.8653,,-32.6453,115.8644,,,,,,,,
ASN00009977,0,276,178,454,,ASN00009871,-34.8361,116.0308,,-32.5219,115.7119,,,,,,,,
ASN00009978,0,0,0,0,,ASN00009877,-33.6033,115.4983,,-33.7563,115.2096,,,,,,,,
ASN00009982,0,0,0,0,,ASN00009936,-32.6239,116.0603,,-33.3878,115.8538,,,,,,,,
ASN00009987,0,0,0,0,,ASN00009961,-33.9306,120.1283,,-33.6414,115.7028,,,,,,,,
ASN00009988,0,0,0,0,,ASN00009964,-34.5714,117.0106,,-33.6808,115.6242,,,,,,,,
ASN00009989,0,0,0,0,,ASN00009965,-33.3567,115.6447,,-33.6458,115.9553,,,,,,,,
ASN00009990,0,0,0,0,,ASN00009967,-34.7772,117.6508,,-33.4775,115.7393,,,,,,,,
ASN00009991,0,0,0,0,,ASN00009968,-34.5683,116.3367,,-33.5711,115.8383,,,,,,,,
ASN00009992,0,0,0,0,,ASN00009971,-33.7844,115.4075,,-33.5435,115.5509,,,,,,,,
ASN00009994,0,266,138,404,,ASN00009976,-32.6453,115.8644,,-33.3608,116.1717,,,,,,,,
ASN00009997,0,0,0,0,,ASN00009977,-32.5219,115.7119,,-33.7647,115.8431,,,,,,,,
ASN00009998,4,206,157,367,,ASN00009978,-33.7563,115.2096,,-34.9469,116.7222,,,,,,,,
ASN00010000,0,0,0,0,,ASN00009982,-33.3878,115.8538,,-31.1675,117.0736,,,,,,,,
ASN00010007,0,320,151,471,,ASN00009987,-33.6414,115.7028,,-30.8081,117.8603,,,,,,,,
ASN00010031,0,0,0,0,,ASN00009988,-33.6808,115.6242,,-31.3742,117.5861,,,,,,,,
ASN00010043,0,0,0,0,,ASN00009989,-33.6458,115.9553,,-31.7661,116.9167,,,,,,,,
ASN00010064,0,0,0,0,,ASN00009990,-33.4775,115.7393,,-31.2747,116.5075,,,,,,,,
ASN00010092,0,310,165,475,,ASN00009991,-33.5711,115.8383,,-31.4756,118.2789,,,,,,,,
ASN00010111,0,329,150,479,,ASN00009992,-33.5435,115.5509,,-31.6508,116.6586,,,,,,,,
ASN00010192,0,0,0,0,,ASN00009994,-33.3608,116.1717,,-30.5539,118.2828,,,,,,,,
ASN00010230,0,0,0,0,,ASN00009997,-33.7647,115.8431,,-31.65,117.1,,,,,,,,
ASN00010286,0,321,150,471,,ASN00009998,-34.9469,116.7222,,-31.6219,117.2217,,,,,,,,
ASN00010307,0,0,0,0,,ASN00010000,-31.1675,117.0736,,-31.7936,116.6278,,,,,,,,
ASN00010308,0,0,0,0,,ASN00010007,-30.8081,117.8603,,-31.55,116.4867,,,,,,,,
ASN00010310,0,0,0,0,,ASN00010064,-31.2747,116.5075,,-31.7647,116.3464,,,,,,,,
ASN00010311,0,318,145,463,,ASN00010073,-31.6183,117.7217,,-31.8997,116.765,,,,,,,,
ASN00010502,0,0,0,0,,ASN00010092,-31.4756,118.2789,,-34.2553,118.2214,,,,,,,,
ASN00010511,0,0,0,0,,ASN00010111,-31.6508,116.6586,,-32.8022,117.5025,,,,,,,,
ASN00010515,0,316,136,452,,ASN00010192,-30.5539,118.2828,,-32.1083,116.9247,,,,,,,,
ASN00010519,0,0,0,0,,ASN00010230,-31.65,117.1,,-34.0717,118.2628,,,,,,,,
ASN00010524,0,286,130,416,,ASN00010286,-31.6219,117.2217,,-32.3725,117.0072,,,,,,,,
ASN00010527,0,0,0,0,,ASN00010307,-31.7936,116.6278,,-32.3756,117.5128,,,,,,,,
ASN00010536,0,0,0,0,,ASN00010308,-31.55,116.4867,,-32.3292,117.8733,,,,,,,,
ASN00010556,0,0,0,0,,ASN00010310,-31.7647,116.3464,,-32.4797,116.8167,,,,,,,,
ASN00010568,0,300,155,455,,ASN00010311,-31.8997,116.765,,-32.4419,118.8983,,,,,,,,
ASN00010582,0,0,0,0,,ASN00010502,-34.2553,118.2214,,-33.83,117.159,,,,,,,,
ASN00010614,0,260,0,260,,ASN00010511,-32.8022,117.5025,,-32.9342,117.1797,,,,,,,,
ASN00010626,0,270,134,404,,ASN00010515,-32.1083,116.9247,,-32.5336,117.0831,,,,,,,,
ASN00010627,0,0,0,0,,ASN00010519,-34.0717,118.2628,,-33.5347,118.5092,,,,,,,,
ASN00010633,20,180,155,355,,ASN00010524,-32.3725,117.0072,,-33.5803,120.0458,,,,,,,,
ASN00010635,0,0,0,0,,ASN00010527,-32.3756,117.5128,,-33.7853,116.9064,,,,,,,,
ASN00010647,0,233,151,384,,ASN00010536,-32.3292,117.8733,,-33.3075,117.3403,,,,,,,,
ASN00010692,0,226,150,376,,ASN00010546,-33.3142,117.74,,-33.1131,118.84,,,,,,,,
ASN00010866,0,0,0,0,,ASN00010556,-32.4797,116.8167,,-33.9317,117.3258,,,,,,,,
ASN00010905,16,200,145,361,,ASN00010568,-32.4419,118.8983,,-33.8878,119.1092,,,,,,,,
ASN00010908,0,0,0,0,,ASN00010582,-33.83,117.159,,-32.0294,116.8742,,,,,,,,
ASN00010911,0,225,153,378,,ASN00010614,-32.9342,117.1797,,-33.1006,118.4647,,,,,,,,
ASN00010912,0,0,0,0,,ASN00010626,-32.5336,117.0831,,-32.5878,117.6408,,,,,,,,
ASN00010916,0,223,142,365,,ASN00010627,-33.5347,118.5092,,-33.6856,117.6064,,,,,,,,
ASN00010917,0,272,101,373,,ASN00010633,-33.5803,120.0458,,-32.6722,116.6706,,,,,,,,
ASN00011003,36,254,168,458,,ASN00010635,-33.7853,116.9064,,-31.6797,128.8792,,,,,,,,
ASN00011008,66,0,0,66,,ASN00010647,-33.3075,117.3403,,-31.8433,127.8572,,,,,,,,
ASN00011019,0,342,170,512,,ASN00010692,-33.1131,118.84,,-32.2464,126.3008,,,,,,,,
ASN00011052,8,347,167,522,,ASN00010729,-34.3439,118.6306,,-30.8453,128.1092,,,,,,,,
ASN00011053,0,265,172,437,,ASN00010866,-33.9317,117.3258,,-32.2028,127.5297,,,,,,,,
ASN00012009,0,347,172,519,,ASN00010905,-33.8878,119.1092,,-32.2147,121.7547,,,,,,,,
ASN00012013,0,0,0,0,,ASN00010908,-32.0294,116.8742,,-30.7503,121.7519,,,,,,,,
ASN00012027,0,0,0,0,,ASN00010911,-33.1006,118.4647,,-29.8119,122.3547,,,,,,,,
ASN00012038,6,360,195,561,,ASN00010912,-32.5878,117.6408,,-30.7847,121.4533,,,,,,,,
ASN00012044,8,193,157,358,,ASN00010916,-33.6856,117.6064,,-33.5547,120.6997,,,,,,,,
ASN00012071,0,297,163,460,,ASN00010917,-32.6722,116.6706,,-32.9869,121.6239,,,,,,,,
ASN00012239,10,390,197,597,,ASN00011003,-31.6797,128.8792,,-28.4967,119.7436,,,,,,,,
ASN00012241,34,392,209,635,,ASN00011008,-31.8433,127.8572,,-28.8789,121.3186,,,,,,,,
ASN00012305,6,381,210,597,,ASN00011019,-32.2464,126.3008,,-28.6133,122.4236,,,,,,,,
ASN00012314,12,393,207,612,,ASN00011052,-30.8453,128.1092,,-27.8386,120.7031,,,,,,,,
ASN00012320,0,334,173,507,,ASN00011053,-32.2028,127.5297,,-31.2353,119.3564,,,,,,,,
ASN00013011,0,419,223,642,,ASN00012009,-32.2147,121.7547,,-26.1317,126.5839,,,,,,,,
ASN00013015,114,420,198,732,,ASN00012013,-30.7503,121.7519,,-25.7964,122.9753,,,,,,,,
ASN00013017,0,408,242,650,,ASN00012027,-29.8119,122.3547,,-25.0341,128.301,,,,,,,,
ASN00013024,0,0,0,0,,ASN00012038,-30.7847,121.4533,,-26.5172,122.8078,,,,,,,,
ASN00013030,6,437,277,720,,ASN00012044,-33.5547,120.6997,,-21.7125,122.2281,,,,,,,,
ASN00014013,0,0,0,0,,ASN00012071,-32.9869,121.6239,,-12.81,130.4576,,,,,,,,
ASN00014015,0,353,299,652,,ASN00012239,-28.4967,119.7436,,-12.4239,130.8925,,,,,,,,
ASN00014041,42,390,268,700,,ASN00012241,-28.8789,121.3186,,-12.605,131.2988,,,,,,,,
ASN00014050,0,0,0,0,,ASN00012305,-28.6133,122.4236,,-12.4706,130.8455,,,,,,,,
ASN00014055,0,0,0,0,,ASN00012314,-27.8386,120.7031,,-13.481,131.1173,,,,,,,,
ASN00014059,0,0,0,0,,ASN00012320,-31.2353,119.3564,,-14.0829,131.8099,,,,,,,,
ASN00014062,0,0,0,0,,ASN00013011,-26.1317,126.5839,,-14.1435,132.1925,,,,,,,,
ASN00014090,0,0,0,0,,ASN00013015,-25.7964,122.9753,,-12.5781,131.3145,,,,,,,,
ASN00014092,0,0,0,0,,ASN00013017,-25.0341,128.301,,-13.2373,131.1042,,,,,,,,
ASN00014112,0,0,0,0,,ASN00013024,-26.5172,122.8078,,-12.3786,130.8469,,,,,,,,
ASN00014142,0,363,254,617,,ASN00013030,-21.7125,122.2281,,-11.4022,130.4217,,,,,,,,
ASN00014143,48,0,0,48,,ASN00014013,-12.81,130.4576,,-12.8003,131.0507,,,,,,,,
ASN00014144,0,0,0,0,,ASN00014015,-12.4239,130.8925,,-12.3962,130.8785,,,,,,,,
ASN00014149,0,0,0,0,,ASN00014041,-12.605,131.2988,,-12.4558,131.0505,,,,,,,,
ASN00014163,0,0,0,0,,ASN00014050,-12.4706,130.8455,,-12.4396,130.8376,,,,,,,,
ASN00014183,4,0,0,4,,ASN00014055,-13.481,131.1173,,-12.8324,130.9713,,,,,,,,
ASN00014198,46,378,281,705,,ASN00014059,-14.0829,131.8099,,-12.6594,132.8939,,,,,,,,
ASN00014224,0,0,0,0,,ASN00014062,-14.1435,132.1925,,-13.8062,132.197,,,,,,,,
ASN00014226,122,0,0,122,,ASN00014090,-12.5781,131.3145,,-12.5764,131.0829,,,,,,,,
ASN00014238,0,0,0,0,,ASN00014092,-13.2373,131.1042,,-12.4346,130.7491,,,,,,,,
ASN00014246,0,0,0,0,,ASN00014112,-12.3786,130.8469,,-12.3784,130.9057,,,,,,,,
ASN00014253,0,350,300,650,,ASN00014142,-11.4022,130.4217,,-13.1672,130.1225,,,,,,,,
ASN00014254,0,376,280,656,,ASN00014143,-12.8003,131.0507,,-12.2435,131.8785,,,,,,,,
ASN00014256,0,0,0,0,,ASN00014144,-12.3962,130.8785,,-12.9038,132.5255,,,,,,,,
ASN00014264,18,0,0,18,,ASN00014149,-12.4558,131.0505,,-12.7121,130.9889,,,,,,,,
ASN00014272,0,379,264,643,,ASN00014163,-12.4396,130.8376,,-13.0545,131.0252,,,,,,,,
ASN00014274,0,339,295,634,,ASN00014183,-12.8324,130.9713,,-11.0468,132.9791,,,,,,,,
ASN00014275,0,0,0,0,,ASN00014198,-12.6594,132.8939,,-12.7164,131.8206,,,,,,,,
ASN00014277,0,349,293,642,,ASN00014219,-12.5491,131.0794,,-12.635,130.3725,,,,,,,,
ASN00014289,0,0,0,0,,ASN00014224,-13.8062,132.197,,-12.3723,130.8665,,,,,,,,
ASN00014401,0,355,286,641,,ASN00014226,-12.5764,131.0829,,-11.6502,133.3796,,,,,,,,
ASN00014404,0,371,277,648,,ASN00014238,-12.4346,130.7491,,-12.0931,134.8919,,,,,,,,
ASN00014405,0,365,276,641,,ASN00014246,-12.3784,130.9057,,-12.0569,134.2339,,,,,,,,
ASN00014517,0,376,297,673,,ASN00014253,-13.1672,130.1225,,-11.9971,135.5726,,,,,,,,
ASN00014518,0,377,277,654,,ASN00014254,-12.2435,131.8785,,-13.9747,136.4631,,,,,,,,
ASN00014602,0,0,0,0,,ASN00014256,-12.9038,132.5255,,-14.1394,134.4742,,,,,,,,
ASN00014605,0,0,0,0,,ASN00014264,-12.7121,130.9889,,-14.823,133.7013,,,,,,,,
ASN00014621,0,0,0,0,,ASN00014266,-12.4121,130.9669,,-15.8087,134.1477,,,,,,,,
ASN00014626,24,427,239,690,,ASN00014272,-13.0545,131.0252,,-16.2636,133.3782,,,,,,,,
ASN00014627,2,403,259,664,,ASN00014274,-11.0468,132.9791,,-13.6714,134.3414,,,,,,,,
ASN00014628,0,0,0,0,,ASN00014275,-12.7164,131.8206,,-16.455,134.6504,,,,,,,,
ASN00014639,0,0,0,0,,ASN00014277,-12.635,130.3725,,-15.9179,132.3831,,,,,,,,
ASN00014648,0,0,0,0,,ASN00014285,-12.3551,130.8857,,-14.134,133.1094,,,,,,,,
ASN00014650,0,0,0,0,,ASN00014289,-12.3723,130.8665,,-14.9147,133.127,,,,,,,,
ASN00014651,0,0,0,0,,ASN00014401,-11.6502,133.3796,,-13.8269,133.3277,,,,,,,,
ASN00014652,62,0,0,62,,ASN00014404,-12.0931,134.8919,,-14.5264,132.8006,,,,,,,,
ASN00014653,0,0,0,0,,ASN00014405,-12.0569,134.2339,,-14.2573,133.5942,,,,,,,,
ASN00014654,0,0,0,0,,ASN00014517,-11.9971,135.5726,,-14.3295,133.1176,,,,,,,,
ASN00014703,82,371,260,713,,ASN00014518,-13.9747,136.4631,,-15.7426,136.8192,,,,,,,,
ASN00014704,0,418,293,711,,ASN00014602,-14.1394,134.4742,,-16.4423,136.076,,,,,,,,
ASN00014705,0,0,0,0,,ASN00014605,-14.823,133.7013,,-17.2314,137.3308,,,,,,,,
ASN00014723,0,423,289,712,,ASN00014621,-15.8087,134.1477,,-16.0757,136.3041,,,,,,,,
ASN00014729,60,0,0,60,,ASN00014626,-16.2636,133.3782,,-15.6293,136.3881,,,,,,,,
ASN00014730,0,0,0,0,,ASN00014627,-13.6714,134.3414,,-14.1055,133.3422,,,,,,,,
ASN00014806,0,0,0,0,,ASN00014628,-16.455,134.6504,,-16.4155,132.0857,,,,,,,,
