Sum of Value,Column Labels,,,,ID,Longitude ,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
17700314,126,74,200,,,,,,#N/A,#N/A
ITE00100554,126,74,200,,,,,,45.4717,9.1892
17700315,112,68,180,,,,,,#N/A,#N/A
ITE00100554,112,68,180,,,,,,45.4717,9.1892
17700316,80,50,130,,,,,,#N/A,#N/A
ITE00100554,80,50,130,,,,,,45.4717,9.1892
17700317,92,40,132,,,,,,#N/A,#N/A
ITE00100554,92,40,132,,,,,,45.4717,9.1892
17700318,78,48,126,,,,,,#N/A,#N/A
ITE00100554,78,48,126,,,,,,45.4717,9.1892
17700319,78,48,126,,,,,,#N/A,#N/A
ITE00100554,78,48,126,,,,,,45.4717,9.1892
17700320,87,43,130,,,,,,#N/A,#N/A
ITE00100554,87,43,130,,,,,,45.4717,9.1892
17700321,86,32,118,,,,,,#N/A,#N/A
ITE00100554,86,32,118,,,,,,45.4717,9.1892
17700322,97,53,150,,,,,,#N/A,#N/A
ITE00100554,97,53,150,,,,,,45.4717,9.1892
17700323,98,32,130,,,,,,#N/A,#N/A
ITE00100554,98,32,130,,,,,,45.4717,9.1892
17700324,102,48,150,,,,,,#N/A,#N/A
ITE00100554,102,48,150,,,,,,45.4717,9.1892
17700325,80,26,106,,,,,,#N/A,#N/A
ITE00100554,80,26,106,,,,,,45.4717,9.1892
17700326,90,36,126,,,,,,#N/A,#N/A
ITE00100554,90,36,126,,,,,,45.4717,9.1892
17700327,88,44,132,,,,,,#N/A,#N/A
ITE00100554,88,44,132,,,,,,45.4717,9.1892
17700328,98,54,152,,,,,,#N/A,#N/A
ITE00100554,98,54,152,,,,,,45.4717,9.1892
17700329,105,61,166,,,,,,#N/A,#N/A
ITE00100554,105,61,166,,,,,,45.4717,9.1892
17700330,131,77,208,,,,,,#N/A,#N/A
ITE00100554,131,77,208,,,,,,45.4717,9.1892
17700331,159,91,250,,,,,,#N/A,#N/A
ITE00100554,159,91,250,,,,,,45.4717,9.1892
17700401,151,97,248,,,,,,#N/A,#N/A
ITE00100554,151,97,248,,,,,,45.4717,9.1892
17700402,172,104,276,,,,,,#N/A,#N/A
ITE00100554,172,104,276,,,,,,45.4717,9.1892
17700403,136,104,240,,,,,,#N/A,#N/A
ITE00100554,136,104,240,,,,,,45.4717,9.1892
17700404,149,93,242,,,,,,#N/A,#N/A
ITE00100554,149,93,242,,,,,,45.4717,9.1892
17700405,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17700406,122,66,188,,,,,,#N/A,#N/A
ITE00100554,122,66,188,,,,,,45.4717,9.1892
17700407,116,60,176,,,,,,#N/A,#N/A
ITE00100554,116,60,176,,,,,,45.4717,9.1892
17700408,128,60,188,,,,,,#N/A,#N/A
ITE00100554,128,60,188,,,,,,45.4717,9.1892
17700409,126,94,220,,,,,,#N/A,#N/A
ITE00100554,126,94,220,,,,,,45.4717,9.1892
17700410,129,97,226,,,,,,#N/A,#N/A
ITE00100554,129,97,226,,,,,,45.4717,9.1892
17700411,111,65,176,,,,,,#N/A,#N/A
ITE00100554,111,65,176,,,,,,45.4717,9.1892
17700412,129,83,212,,,,,,#N/A,#N/A
ITE00100554,129,83,212,,,,,,45.4717,9.1892
17700413,142,86,228,,,,,,#N/A,#N/A
ITE00100554,142,86,228,,,,,,45.4717,9.1892
17700414,159,91,250,,,,,,#N/A,#N/A
ITE00100554,159,91,250,,,,,,45.4717,9.1892
17700415,148,102,250,,,,,,#N/A,#N/A
ITE00100554,148,102,250,,,,,,45.4717,9.1892
17700416,129,97,226,,,,,,#N/A,#N/A
ITE00100554,129,97,226,,,,,,45.4717,9.1892
17700417,149,81,230,,,,,,#N/A,#N/A
ITE00100554,149,81,230,,,,,,45.4717,9.1892
17700418,163,95,258,,,,,,#N/A,#N/A
ITE00100554,163,95,258,,,,,,45.4717,9.1892
17700419,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17700420,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17700421,162,106,268,,,,,,#N/A,#N/A
ITE00100554,162,106,268,,,,,,45.4717,9.1892
17700422,178,110,288,,,,,,#N/A,#N/A
ITE00100554,178,110,288,,,,,,45.4717,9.1892
17700423,153,97,250,,,,,,#N/A,#N/A
ITE00100554,153,97,250,,,,,,45.4717,9.1892
17700424,134,78,212,,,,,,#N/A,#N/A
ITE00100554,134,78,212,,,,,,45.4717,9.1892
17700425,134,78,212,,,,,,#N/A,#N/A
ITE00100554,134,78,212,,,,,,45.4717,9.1892
17700426,165,97,262,,,,,,#N/A,#N/A
ITE00100554,165,97,262,,,,,,45.4717,9.1892
17700427,175,107,282,,,,,,#N/A,#N/A
ITE00100554,175,107,282,,,,,,45.4717,9.1892
17700428,167,121,288,,,,,,#N/A,#N/A
ITE00100554,167,121,288,,,,,,45.4717,9.1892
17700429,178,122,300,,,,,,#N/A,#N/A
ITE00100554,178,122,300,,,,,,45.4717,9.1892
17700430,184,128,312,,,,,,#N/A,#N/A
ITE00100554,184,128,312,,,,,,45.4717,9.1892
17700501,177,145,322,,,,,,#N/A,#N/A
ITE00100554,177,145,322,,,,,,45.4717,9.1892
17700502,182,126,308,,,,,,#N/A,#N/A
ITE00100554,182,126,308,,,,,,45.4717,9.1892
17700503,135,103,238,,,,,,#N/A,#N/A
ITE00100554,135,103,238,,,,,,45.4717,9.1892
17700504,136,90,226,,,,,,#N/A,#N/A
ITE00100554,136,90,226,,,,,,45.4717,9.1892
17700505,158,90,248,,,,,,#N/A,#N/A
ITE00100554,158,90,248,,,,,,45.4717,9.1892
17700506,184,116,300,,,,,,#N/A,#N/A
ITE00100554,184,116,300,,,,,,45.4717,9.1892
17700507,147,115,262,,,,,,#N/A,#N/A
ITE00100554,147,115,262,,,,,,45.4717,9.1892
17700508,182,114,296,,,,,,#N/A,#N/A
ITE00100554,182,114,296,,,,,,45.4717,9.1892
17700509,185,117,302,,,,,,#N/A,#N/A
ITE00100554,185,117,302,,,,,,45.4717,9.1892
17700510,198,130,328,,,,,,#N/A,#N/A
ITE00100554,198,130,328,,,,,,45.4717,9.1892
17700511,199,131,330,,,,,,#N/A,#N/A
ITE00100554,199,131,330,,,,,,45.4717,9.1892
17700512,207,151,358,,,,,,#N/A,#N/A
ITE00100554,207,151,358,,,,,,45.4717,9.1892
17700513,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17700514,204,148,352,,,,,,#N/A,#N/A
ITE00100554,204,148,352,,,,,,45.4717,9.1892
17700515,196,150,346,,,,,,#N/A,#N/A
ITE00100554,196,150,346,,,,,,45.4717,9.1892
17700516,180,148,328,,,,,,#N/A,#N/A
ITE00100554,180,148,328,,,,,,45.4717,9.1892
17700517,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17700518,209,153,362,,,,,,#N/A,#N/A
ITE00100554,209,153,362,,,,,,45.4717,9.1892
17700519,221,175,396,,,,,,#N/A,#N/A
ITE00100554,221,175,396,,,,,,45.4717,9.1892
17700520,228,172,400,,,,,,#N/A,#N/A
ITE00100554,228,172,400,,,,,,45.4717,9.1892
17700521,227,181,408,,,,,,#N/A,#N/A
ITE00100554,227,181,408,,,,,,45.4717,9.1892
17700522,199,167,366,,,,,,#N/A,#N/A
ITE00100554,199,167,366,,,,,,45.4717,9.1892
17700523,212,156,368,,,,,,#N/A,#N/A
ITE00100554,212,156,368,,,,,,45.4717,9.1892
17700524,204,172,376,,,,,,#N/A,#N/A
ITE00100554,204,172,376,,,,,,45.4717,9.1892
17700525,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17700526,229,159,388,,,,,,#N/A,#N/A
ITE00100554,229,159,388,,,,,,45.4717,9.1892
17700527,228,172,400,,,,,,#N/A,#N/A
ITE00100554,228,172,400,,,,,,45.4717,9.1892
17700528,201,169,370,,,,,,#N/A,#N/A
ITE00100554,201,169,370,,,,,,45.4717,9.1892
17700529,217,161,378,,,,,,#N/A,#N/A
ITE00100554,217,161,378,,,,,,45.4717,9.1892
17700530,211,165,376,,,,,,#N/A,#N/A
ITE00100554,211,165,376,,,,,,45.4717,9.1892
17700531,205,173,378,,,,,,#N/A,#N/A
ITE00100554,205,173,378,,,,,,45.4717,9.1892
17700601,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17700602,194,136,330,,,,,,#N/A,#N/A
ITE00100554,194,136,330,,,,,,45.4717,9.1892
17700603,226,156,382,,,,,,#N/A,#N/A
ITE00100554,226,156,382,,,,,,45.4717,9.1892
17700604,235,165,400,,,,,,#N/A,#N/A
ITE00100554,235,165,400,,,,,,45.4717,9.1892
17700605,260,190,450,,,,,,#N/A,#N/A
ITE00100554,260,190,450,,,,,,45.4717,9.1892
17700606,244,186,430,,,,,,#N/A,#N/A
ITE00100554,244,186,430,,,,,,45.4717,9.1892
17700607,248,190,438,,,,,,#N/A,#N/A
ITE00100554,248,190,438,,,,,,45.4717,9.1892
17700608,260,190,450,,,,,,#N/A,#N/A
ITE00100554,260,190,450,,,,,,45.4717,9.1892
17700609,285,215,500,,,,,,#N/A,#N/A
ITE00100554,285,215,500,,,,,,45.4717,9.1892
17700610,273,203,476,,,,,,#N/A,#N/A
ITE00100554,273,203,476,,,,,,45.4717,9.1892
17700611,286,214,500,,,,,,#N/A,#N/A
ITE00100554,286,214,500,,,,,,45.4717,9.1892
17700612,285,227,512,,,,,,#N/A,#N/A
ITE00100554,285,227,512,,,,,,45.4717,9.1892
17700613,274,202,476,,,,,,#N/A,#N/A
ITE00100554,274,202,476,,,,,,45.4717,9.1892
17700614,286,214,500,,,,,,#N/A,#N/A
ITE00100554,286,214,500,,,,,,45.4717,9.1892
17700615,292,220,512,,,,,,#N/A,#N/A
ITE00100554,292,220,512,,,,,,45.4717,9.1892
17700616,292,220,512,,,,,,#N/A,#N/A
ITE00100554,292,220,512,,,,,,45.4717,9.1892
17700617,275,227,502,,,,,,#N/A,#N/A
ITE00100554,275,227,502,,,,,,45.4717,9.1892
17700618,234,176,410,,,,,,#N/A,#N/A
ITE00100554,234,176,410,,,,,,45.4717,9.1892
17700619,223,189,412,,,,,,#N/A,#N/A
ITE00100554,223,189,412,,,,,,45.4717,9.1892
17700620,249,201,450,,,,,,#N/A,#N/A
ITE00100554,249,201,450,,,,,,45.4717,9.1892
17700621,236,176,412,,,,,,#N/A,#N/A
ITE00100554,236,176,412,,,,,,45.4717,9.1892
17700622,244,184,428,,,,,,#N/A,#N/A
ITE00100554,244,184,428,,,,,,45.4717,9.1892
17700623,244,184,428,,,,,,#N/A,#N/A
ITE00100554,244,184,428,,,,,,45.4717,9.1892
17700624,225,191,416,,,,,,#N/A,#N/A
ITE00100554,225,191,416,,,,,,45.4717,9.1892
17700625,235,163,398,,,,,,#N/A,#N/A
ITE00100554,235,163,398,,,,,,45.4717,9.1892
17700626,261,187,448,,,,,,#N/A,#N/A
ITE00100554,261,187,448,,,,,,45.4717,9.1892
17700627,251,201,452,,,,,,#N/A,#N/A
ITE00100554,251,201,452,,,,,,45.4717,9.1892
17700628,275,201,476,,,,,,#N/A,#N/A
ITE00100554,275,201,476,,,,,,45.4717,9.1892
17700629,270,210,480,,,,,,#N/A,#N/A
ITE00100554,270,210,480,,,,,,45.4717,9.1892
17700630,250,200,450,,,,,,#N/A,#N/A
ITE00100554,250,200,450,,,,,,45.4717,9.1892
17700701,236,202,438,,,,,,#N/A,#N/A
ITE00100554,236,202,438,,,,,,45.4717,9.1892
17700702,225,175,400,,,,,,#N/A,#N/A
ITE00100554,225,175,400,,,,,,45.4717,9.1892
17700703,249,189,438,,,,,,#N/A,#N/A
ITE00100554,249,189,438,,,,,,45.4717,9.1892
17700704,241,167,408,,,,,,#N/A,#N/A
ITE00100554,241,167,408,,,,,,45.4717,9.1892
17700705,251,191,442,,,,,,#N/A,#N/A
ITE00100554,251,191,442,,,,,,45.4717,9.1892
17700706,254,204,458,,,,,,#N/A,#N/A
ITE00100554,254,204,458,,,,,,45.4717,9.1892
17700707,258,198,456,,,,,,#N/A,#N/A
ITE00100554,258,198,456,,,,,,45.4717,9.1892
17700708,255,221,476,,,,,,#N/A,#N/A
ITE00100554,255,221,476,,,,,,45.4717,9.1892
17700709,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17700710,249,187,436,,,,,,#N/A,#N/A
ITE00100554,249,187,436,,,,,,45.4717,9.1892
17700711,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17700712,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17700713,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17700714,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17700715,256,194,450,,,,,,#N/A,#N/A
ITE00100554,256,194,450,,,,,,45.4717,9.1892
17700716,253,203,456,,,,,,#N/A,#N/A
ITE00100554,253,203,456,,,,,,45.4717,9.1892
17700717,259,183,442,,,,,,#N/A,#N/A
ITE00100554,259,183,442,,,,,,45.4717,9.1892
17700718,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17700719,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17700720,282,220,502,,,,,,#N/A,#N/A
ITE00100554,282,220,502,,,,,,45.4717,9.1892
17700721,278,202,480,,,,,,#N/A,#N/A
ITE00100554,278,202,480,,,,,,45.4717,9.1892
17700722,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17700723,281,219,500,,,,,,#N/A,#N/A
ITE00100554,281,219,500,,,,,,45.4717,9.1892
17700724,262,226,488,,,,,,#N/A,#N/A
ITE00100554,262,226,488,,,,,,45.4717,9.1892
17700725,252,216,468,,,,,,#N/A,#N/A
ITE00100554,252,216,468,,,,,,45.4717,9.1892
17700726,237,201,438,,,,,,#N/A,#N/A
ITE00100554,237,201,438,,,,,,45.4717,9.1892
17700727,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17700728,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17700729,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17700730,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17700731,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17700801,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17700802,266,204,470,,,,,,#N/A,#N/A
ITE00100554,266,204,470,,,,,,45.4717,9.1892
17700803,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17700804,269,207,476,,,,,,#N/A,#N/A
ITE00100554,269,207,476,,,,,,45.4717,9.1892
17700805,278,202,480,,,,,,#N/A,#N/A
ITE00100554,278,202,480,,,,,,45.4717,9.1892
17700806,278,202,480,,,,,,#N/A,#N/A
ITE00100554,278,202,480,,,,,,45.4717,9.1892
17700807,278,202,480,,,,,,#N/A,#N/A
ITE00100554,278,202,480,,,,,,45.4717,9.1892
17700808,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17700809,289,213,502,,,,,,#N/A,#N/A
ITE00100554,289,213,502,,,,,,45.4717,9.1892
17700810,292,216,508,,,,,,#N/A,#N/A
ITE00100554,292,216,508,,,,,,45.4717,9.1892
17700811,292,216,508,,,,,,#N/A,#N/A
ITE00100554,292,216,508,,,,,,45.4717,9.1892
17700812,308,232,540,,,,,,#N/A,#N/A
ITE00100554,308,232,540,,,,,,45.4717,9.1892
17700813,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17700814,308,232,540,,,,,,#N/A,#N/A
ITE00100554,308,232,540,,,,,,45.4717,9.1892
17700815,277,241,518,,,,,,#N/A,#N/A
ITE00100554,277,241,518,,,,,,45.4717,9.1892
17700816,279,203,482,,,,,,#N/A,#N/A
ITE00100554,279,203,482,,,,,,45.4717,9.1892
17700817,233,197,430,,,,,,#N/A,#N/A
ITE00100554,233,197,430,,,,,,45.4717,9.1892
17700818,246,184,430,,,,,,#N/A,#N/A
ITE00100554,246,184,430,,,,,,45.4717,9.1892
17700819,226,192,418,,,,,,#N/A,#N/A
ITE00100554,226,192,418,,,,,,45.4717,9.1892
17700820,254,178,432,,,,,,#N/A,#N/A
ITE00100554,254,178,432,,,,,,45.4717,9.1892
17700821,237,203,440,,,,,,#N/A,#N/A
ITE00100554,237,203,440,,,,,,45.4717,9.1892
17700822,230,168,398,,,,,,#N/A,#N/A
ITE00100554,230,168,398,,,,,,45.4717,9.1892
17700823,236,162,398,,,,,,#N/A,#N/A
ITE00100554,236,162,398,,,,,,45.4717,9.1892
17700824,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17700825,250,176,426,,,,,,#N/A,#N/A
ITE00100554,250,176,426,,,,,,45.4717,9.1892
17700826,255,195,450,,,,,,#N/A,#N/A
ITE00100554,255,195,450,,,,,,45.4717,9.1892
17700827,265,191,456,,,,,,#N/A,#N/A
ITE00100554,265,191,456,,,,,,45.4717,9.1892
17700828,249,189,438,,,,,,#N/A,#N/A
ITE00100554,249,189,438,,,,,,45.4717,9.1892
17700829,243,169,412,,,,,,#N/A,#N/A
ITE00100554,243,169,412,,,,,,45.4717,9.1892
17700830,239,179,418,,,,,,#N/A,#N/A
ITE00100554,239,179,418,,,,,,45.4717,9.1892
17700831,250,176,426,,,,,,#N/A,#N/A
ITE00100554,250,176,426,,,,,,45.4717,9.1892
17700901,257,185,442,,,,,,#N/A,#N/A
ITE00100554,257,185,442,,,,,,45.4717,9.1892
17700902,243,195,438,,,,,,#N/A,#N/A
ITE00100554,243,195,438,,,,,,45.4717,9.1892
17700903,260,202,462,,,,,,#N/A,#N/A
ITE00100554,260,202,462,,,,,,45.4717,9.1892
17700904,269,211,480,,,,,,#N/A,#N/A
ITE00100554,269,211,480,,,,,,45.4717,9.1892
17700905,255,183,438,,,,,,#N/A,#N/A
ITE00100554,255,183,438,,,,,,45.4717,9.1892
17700906,255,183,438,,,,,,#N/A,#N/A
ITE00100554,255,183,438,,,,,,45.4717,9.1892
17700907,251,181,432,,,,,,#N/A,#N/A
ITE00100554,251,181,432,,,,,,45.4717,9.1892
17700908,231,199,430,,,,,,#N/A,#N/A
ITE00100554,231,199,430,,,,,,45.4717,9.1892
17700909,229,197,426,,,,,,#N/A,#N/A
ITE00100554,229,197,426,,,,,,45.4717,9.1892
17700910,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17700911,281,225,506,,,,,,#N/A,#N/A
ITE00100554,281,225,506,,,,,,45.4717,9.1892
17700912,223,167,390,,,,,,#N/A,#N/A
ITE00100554,223,167,390,,,,,,45.4717,9.1892
17700913,217,171,388,,,,,,#N/A,#N/A
ITE00100554,217,171,388,,,,,,45.4717,9.1892
17700914,213,145,358,,,,,,#N/A,#N/A
ITE00100554,213,145,358,,,,,,45.4717,9.1892
17700915,224,156,380,,,,,,#N/A,#N/A
ITE00100554,224,156,380,,,,,,45.4717,9.1892
17700916,234,166,400,,,,,,#N/A,#N/A
ITE00100554,234,166,400,,,,,,45.4717,9.1892
