Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weater Stations,Longitude Instance,Latitude Instance
ITE00100554,32,-2,30,,,,,,45.4717,9.1892
17660215,32,8,40,,,,,,#N/A,#N/A
ITE00100554,32,8,40,,,,,,45.4717,9.1892
17660216,41,17,58,,,,,,#N/A,#N/A
ITE00100554,41,17,58,,,,,,45.4717,9.1892
17660217,50,26,76,,,,,,#N/A,#N/A
ITE00100554,50,26,76,,,,,,45.4717,9.1892
17660218,49,13,62,,,,,,#N/A,#N/A
ITE00100554,49,13,62,,,,,,45.4717,9.1892
17660219,37,1,38,,,,,,#N/A,#N/A
ITE00100554,37,1,38,,,,,,45.4717,9.1892
17660220,60,6,66,,,,,,#N/A,#N/A
ITE00100554,60,6,66,,,,,,45.4717,9.1892
17660221,49,-7,42,,,,,,#N/A,#N/A
ITE00100554,49,-7,42,,,,,,45.4717,9.1892
17660222,43,-13,30,,,,,,#N/A,#N/A
ITE00100554,43,-13,30,,,,,,45.4717,9.1892
17660223,44,-12,32,,,,,,#N/A,#N/A
ITE00100554,44,-12,32,,,,,,45.4717,9.1892
17660224,56,0,56,,,,,,#N/A,#N/A
ITE00100554,56,0,56,,,,,,45.4717,9.1892
17660225,69,11,80,,,,,,#N/A,#N/A
ITE00100554,69,11,80,,,,,,45.4717,9.1892
17660226,68,10,78,,,,,,#N/A,#N/A
ITE00100554,68,10,78,,,,,,45.4717,9.1892
17660227,75,17,92,,,,,,#N/A,#N/A
ITE00100554,75,17,92,,,,,,45.4717,9.1892
17660228,62,14,76,,,,,,#N/A,#N/A
ITE00100554,62,14,76,,,,,,45.4717,9.1892
17660301,95,55,150,,,,,,#N/A,#N/A
ITE00100554,95,55,150,,,,,,45.4717,9.1892
17660302,77,49,126,,,,,,#N/A,#N/A
ITE00100554,77,49,126,,,,,,45.4717,9.1892
17660303,77,49,126,,,,,,#N/A,#N/A
ITE00100554,77,49,126,,,,,,45.4717,9.1892
17660304,84,56,140,,,,,,#N/A,#N/A
ITE00100554,84,56,140,,,,,,45.4717,9.1892
17660305,118,68,186,,,,,,#N/A,#N/A
ITE00100554,118,68,186,,,,,,45.4717,9.1892
17660306,119,57,176,,,,,,#N/A,#N/A
ITE00100554,119,57,176,,,,,,45.4717,9.1892
17660307,121,59,180,,,,,,#N/A,#N/A
ITE00100554,121,59,180,,,,,,45.4717,9.1892
17660308,120,58,178,,,,,,#N/A,#N/A
ITE00100554,120,58,178,,,,,,45.4717,9.1892
17660309,109,47,156,,,,,,#N/A,#N/A
ITE00100554,109,47,156,,,,,,45.4717,9.1892
17660310,112,50,162,,,,,,#N/A,#N/A
ITE00100554,112,50,162,,,,,,45.4717,9.1892
17660311,115,53,168,,,,,,#N/A,#N/A
ITE00100554,115,53,168,,,,,,45.4717,9.1892
17660312,122,58,180,,,,,,#N/A,#N/A
ITE00100554,122,58,180,,,,,,45.4717,9.1892
17660313,127,63,190,,,,,,#N/A,#N/A
ITE00100554,127,63,190,,,,,,45.4717,9.1892
17660314,132,68,200,,,,,,#N/A,#N/A
ITE00100554,132,68,200,,,,,,45.4717,9.1892
17660315,133,69,202,,,,,,#N/A,#N/A
ITE00100554,133,69,202,,,,,,45.4717,9.1892
17660316,132,68,200,,,,,,#N/A,#N/A
ITE00100554,132,68,200,,,,,,45.4717,9.1892
17660317,127,63,190,,,,,,#N/A,#N/A
ITE00100554,127,63,190,,,,,,45.4717,9.1892
17660318,127,63,190,,,,,,#N/A,#N/A
ITE00100554,127,63,190,,,,,,45.4717,9.1892
17660319,141,97,238,,,,,,#N/A,#N/A
ITE00100554,141,97,238,,,,,,45.4717,9.1892
17660320,72,28,100,,,,,,#N/A,#N/A
ITE00100554,72,28,100,,,,,,45.4717,9.1892
17660321,76,32,108,,,,,,#N/A,#N/A
ITE00100554,76,32,108,,,,,,45.4717,9.1892
17660322,108,54,162,,,,,,#N/A,#N/A
ITE00100554,108,54,162,,,,,,45.4717,9.1892
17660323,116,72,188,,,,,,#N/A,#N/A
ITE00100554,116,72,188,,,,,,45.4717,9.1892
17660324,88,22,110,,,,,,#N/A,#N/A
ITE00100554,88,22,110,,,,,,45.4717,9.1892
17660325,84,18,102,,,,,,#N/A,#N/A
ITE00100554,84,18,102,,,,,,45.4717,9.1892
17660326,81,37,118,,,,,,#N/A,#N/A
ITE00100554,81,37,118,,,,,,45.4717,9.1892
17660327,100,70,170,,,,,,#N/A,#N/A
ITE00100554,100,70,170,,,,,,45.4717,9.1892
17660328,109,43,152,,,,,,#N/A,#N/A
ITE00100554,109,43,152,,,,,,45.4717,9.1892
17660329,96,30,126,,,,,,#N/A,#N/A
ITE00100554,96,30,126,,,,,,45.4717,9.1892
17660330,88,58,146,,,,,,#N/A,#N/A
ITE00100554,88,58,146,,,,,,45.4717,9.1892
17660331,98,68,166,,,,,,#N/A,#N/A
ITE00100554,98,68,166,,,,,,45.4717,9.1892
17660401,133,87,220,,,,,,#N/A,#N/A
ITE00100554,133,87,220,,,,,,45.4717,9.1892
17660402,138,84,222,,,,,,#N/A,#N/A
ITE00100554,138,84,222,,,,,,45.4717,9.1892
17660403,127,95,222,,,,,,#N/A,#N/A
ITE00100554,127,95,222,,,,,,45.4717,9.1892
17660404,146,90,236,,,,,,#N/A,#N/A
ITE00100554,146,90,236,,,,,,45.4717,9.1892
17660405,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17660406,163,107,270,,,,,,#N/A,#N/A
ITE00100554,163,107,270,,,,,,45.4717,9.1892
17660407,165,97,262,,,,,,#N/A,#N/A
ITE00100554,165,97,262,,,,,,45.4717,9.1892
17660408,170,102,272,,,,,,#N/A,#N/A
ITE00100554,170,102,272,,,,,,45.4717,9.1892
17660409,137,81,218,,,,,,#N/A,#N/A
ITE00100554,137,81,218,,,,,,45.4717,9.1892
17660410,143,87,230,,,,,,#N/A,#N/A
ITE00100554,143,87,230,,,,,,45.4717,9.1892
17660411,138,70,208,,,,,,#N/A,#N/A
ITE00100554,138,70,208,,,,,,45.4717,9.1892
17660412,148,80,228,,,,,,#N/A,#N/A
ITE00100554,148,80,228,,,,,,45.4717,9.1892
17660413,156,100,256,,,,,,#N/A,#N/A
ITE00100554,156,100,256,,,,,,45.4717,9.1892
17660414,159,103,262,,,,,,#N/A,#N/A
ITE00100554,159,103,262,,,,,,45.4717,9.1892
17660415,164,118,282,,,,,,#N/A,#N/A
ITE00100554,164,118,282,,,,,,45.4717,9.1892
17660416,168,122,290,,,,,,#N/A,#N/A
ITE00100554,168,122,290,,,,,,45.4717,9.1892
17660417,137,105,242,,,,,,#N/A,#N/A
ITE00100554,137,105,242,,,,,,45.4717,9.1892
17660418,154,108,262,,,,,,#N/A,#N/A
ITE00100554,154,108,262,,,,,,45.4717,9.1892
17660419,157,101,258,,,,,,#N/A,#N/A
ITE00100554,157,101,258,,,,,,45.4717,9.1892
17660420,168,112,280,,,,,,#N/A,#N/A
ITE00100554,168,112,280,,,,,,45.4717,9.1892
17660421,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17660422,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17660423,154,122,276,,,,,,#N/A,#N/A
ITE00100554,154,122,276,,,,,,45.4717,9.1892
17660424,145,113,258,,,,,,#N/A,#N/A
ITE00100554,145,113,258,,,,,,45.4717,9.1892
17660425,154,122,276,,,,,,#N/A,#N/A
ITE00100554,154,122,276,,,,,,45.4717,9.1892
17660426,166,120,286,,,,,,#N/A,#N/A
ITE00100554,166,120,286,,,,,,45.4717,9.1892
17660427,164,132,296,,,,,,#N/A,#N/A
ITE00100554,164,132,296,,,,,,45.4717,9.1892
17660428,192,136,328,,,,,,#N/A,#N/A
ITE00100554,192,136,328,,,,,,45.4717,9.1892
17660429,200,132,332,,,,,,#N/A,#N/A
ITE00100554,200,132,332,,,,,,45.4717,9.1892
17660430,201,145,346,,,,,,#N/A,#N/A
ITE00100554,201,145,346,,,,,,45.4717,9.1892
17660501,178,132,310,,,,,,#N/A,#N/A
ITE00100554,178,132,310,,,,,,45.4717,9.1892
17660502,192,136,328,,,,,,#N/A,#N/A
ITE00100554,192,136,328,,,,,,45.4717,9.1892
17660503,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17660504,198,152,350,,,,,,#N/A,#N/A
ITE00100554,198,152,350,,,,,,45.4717,9.1892
17660505,197,141,338,,,,,,#N/A,#N/A
ITE00100554,197,141,338,,,,,,45.4717,9.1892
17660506,208,140,348,,,,,,#N/A,#N/A
ITE00100554,208,140,348,,,,,,45.4717,9.1892
17660507,223,155,378,,,,,,#N/A,#N/A
ITE00100554,223,155,378,,,,,,45.4717,9.1892
17660508,229,161,390,,,,,,#N/A,#N/A
ITE00100554,229,161,390,,,,,,45.4717,9.1892
17660509,223,155,378,,,,,,#N/A,#N/A
ITE00100554,223,155,378,,,,,,45.4717,9.1892
17660510,194,148,342,,,,,,#N/A,#N/A
ITE00100554,194,148,342,,,,,,45.4717,9.1892
17660511,209,141,350,,,,,,#N/A,#N/A
ITE00100554,209,141,350,,,,,,45.4717,9.1892
17660512,212,156,368,,,,,,#N/A,#N/A
ITE00100554,212,156,368,,,,,,45.4717,9.1892
17660513,162,130,292,,,,,,#N/A,#N/A
ITE00100554,162,130,292,,,,,,45.4717,9.1892
17660514,149,93,242,,,,,,#N/A,#N/A
ITE00100554,149,93,242,,,,,,45.4717,9.1892
17660515,157,111,268,,,,,,#N/A,#N/A
ITE00100554,157,111,268,,,,,,45.4717,9.1892
17660516,183,115,298,,,,,,#N/A,#N/A
ITE00100554,183,115,298,,,,,,45.4717,9.1892
17660517,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17660518,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17660519,189,157,346,,,,,,#N/A,#N/A
ITE00100554,189,157,346,,,,,,45.4717,9.1892
17660520,202,156,358,,,,,,#N/A,#N/A
ITE00100554,202,156,358,,,,,,45.4717,9.1892
17660521,216,146,362,,,,,,#N/A,#N/A
ITE00100554,216,146,362,,,,,,45.4717,9.1892
17660522,219,163,382,,,,,,#N/A,#N/A
ITE00100554,219,163,382,,,,,,45.4717,9.1892
17660523,187,155,342,,,,,,#N/A,#N/A
ITE00100554,187,155,342,,,,,,45.4717,9.1892
17660524,218,148,366,,,,,,#N/A,#N/A
ITE00100554,218,148,366,,,,,,45.4717,9.1892
17660525,225,193,418,,,,,,#N/A,#N/A
ITE00100554,225,193,418,,,,,,45.4717,9.1892
17660526,222,166,388,,,,,,#N/A,#N/A
ITE00100554,222,166,388,,,,,,45.4717,9.1892
17660527,241,171,412,,,,,,#N/A,#N/A
ITE00100554,241,171,412,,,,,,45.4717,9.1892
17660528,241,185,426,,,,,,#N/A,#N/A
ITE00100554,241,185,426,,,,,,45.4717,9.1892
17660529,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17660530,179,147,326,,,,,,#N/A,#N/A
ITE00100554,179,147,326,,,,,,45.4717,9.1892
17660531,175,143,318,,,,,,#N/A,#N/A
ITE00100554,175,143,318,,,,,,45.4717,9.1892
17660601,179,121,300,,,,,,#N/A,#N/A
ITE00100554,179,121,300,,,,,,45.4717,9.1892
17660602,235,165,400,,,,,,#N/A,#N/A
ITE00100554,235,165,400,,,,,,45.4717,9.1892
17660603,235,165,400,,,,,,#N/A,#N/A
ITE00100554,235,165,400,,,,,,45.4717,9.1892
17660604,258,188,446,,,,,,#N/A,#N/A
ITE00100554,258,188,446,,,,,,45.4717,9.1892
17660605,256,186,442,,,,,,#N/A,#N/A
ITE00100554,256,186,442,,,,,,45.4717,9.1892
17660606,258,210,468,,,,,,#N/A,#N/A
ITE00100554,258,210,468,,,,,,45.4717,9.1892
17660607,243,195,438,,,,,,#N/A,#N/A
ITE00100554,243,195,438,,,,,,45.4717,9.1892
17660608,248,190,438,,,,,,#N/A,#N/A
ITE00100554,248,190,438,,,,,,45.4717,9.1892
17660609,275,205,480,,,,,,#N/A,#N/A
ITE00100554,275,205,480,,,,,,45.4717,9.1892
17660610,270,212,482,,,,,,#N/A,#N/A
ITE00100554,270,212,482,,,,,,45.4717,9.1892
17660611,250,192,442,,,,,,#N/A,#N/A
ITE00100554,250,192,442,,,,,,45.4717,9.1892
17660612,257,199,456,,,,,,#N/A,#N/A
ITE00100554,257,199,456,,,,,,45.4717,9.1892
17660613,259,187,446,,,,,,#N/A,#N/A
ITE00100554,259,187,446,,,,,,45.4717,9.1892
17660614,246,174,420,,,,,,#N/A,#N/A
ITE00100554,246,174,420,,,,,,45.4717,9.1892
17660615,262,190,452,,,,,,#N/A,#N/A
ITE00100554,262,190,452,,,,,,45.4717,9.1892
17660616,260,202,462,,,,,,#N/A,#N/A
ITE00100554,260,202,462,,,,,,45.4717,9.1892
17660617,269,197,466,,,,,,#N/A,#N/A
ITE00100554,269,197,466,,,,,,45.4717,9.1892
17660618,269,211,480,,,,,,#N/A,#N/A
ITE00100554,269,211,480,,,,,,45.4717,9.1892
17660619,270,212,482,,,,,,#N/A,#N/A
ITE00100554,270,212,482,,,,,,45.4717,9.1892
17660620,267,195,462,,,,,,#N/A,#N/A
ITE00100554,267,195,462,,,,,,45.4717,9.1892
17660621,269,197,466,,,,,,#N/A,#N/A
ITE00100554,269,197,466,,,,,,45.4717,9.1892
17660622,281,209,490,,,,,,#N/A,#N/A
ITE00100554,281,209,490,,,,,,45.4717,9.1892
17660623,281,209,490,,,,,,#N/A,#N/A
ITE00100554,281,209,490,,,,,,45.4717,9.1892
17660624,270,198,468,,,,,,#N/A,#N/A
ITE00100554,270,198,468,,,,,,45.4717,9.1892
17660625,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17660626,256,196,452,,,,,,#N/A,#N/A
ITE00100554,256,196,452,,,,,,45.4717,9.1892
17660627,231,197,428,,,,,,#N/A,#N/A
ITE00100554,231,197,428,,,,,,45.4717,9.1892
17660628,250,190,440,,,,,,#N/A,#N/A
ITE00100554,250,190,440,,,,,,45.4717,9.1892
17660629,280,220,500,,,,,,#N/A,#N/A
ITE00100554,280,220,500,,,,,,45.4717,9.1892
17660630,269,209,478,,,,,,#N/A,#N/A
ITE00100554,269,209,478,,,,,,45.4717,9.1892
17660701,277,203,480,,,,,,#N/A,#N/A
ITE00100554,277,203,480,,,,,,45.4717,9.1892
17660702,255,195,450,,,,,,#N/A,#N/A
ITE00100554,255,195,450,,,,,,45.4717,9.1892
17660703,205,171,376,,,,,,#N/A,#N/A
ITE00100554,205,171,376,,,,,,45.4717,9.1892
17660704,251,177,428,,,,,,#N/A,#N/A
ITE00100554,251,177,428,,,,,,45.4717,9.1892
17660705,265,191,456,,,,,,#N/A,#N/A
ITE00100554,265,191,456,,,,,,45.4717,9.1892
17660706,266,192,458,,,,,,#N/A,#N/A
ITE00100554,266,192,458,,,,,,45.4717,9.1892
17660707,218,184,402,,,,,,#N/A,#N/A
ITE00100554,218,184,402,,,,,,45.4717,9.1892
17660708,248,174,422,,,,,,#N/A,#N/A
ITE00100554,248,174,422,,,,,,45.4717,9.1892
17660709,256,182,438,,,,,,#N/A,#N/A
ITE00100554,256,182,438,,,,,,45.4717,9.1892
17660710,277,201,478,,,,,,#N/A,#N/A
ITE00100554,277,201,478,,,,,,45.4717,9.1892
17660711,279,203,482,,,,,,#N/A,#N/A
ITE00100554,279,203,482,,,,,,45.4717,9.1892
17660712,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17660713,231,197,428,,,,,,#N/A,#N/A
ITE00100554,231,197,428,,,,,,45.4717,9.1892
17660714,257,195,452,,,,,,#N/A,#N/A
ITE00100554,257,195,452,,,,,,45.4717,9.1892
17660715,259,197,456,,,,,,#N/A,#N/A
ITE00100554,259,197,456,,,,,,45.4717,9.1892
17660716,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17660717,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17660718,264,188,452,,,,,,#N/A,#N/A
ITE00100554,264,188,452,,,,,,45.4717,9.1892
17660719,271,195,466,,,,,,#N/A,#N/A
ITE00100554,271,195,466,,,,,,45.4717,9.1892
17660720,275,213,488,,,,,,#N/A,#N/A
ITE00100554,275,213,488,,,,,,45.4717,9.1892
17660721,273,197,470,,,,,,#N/A,#N/A
ITE00100554,273,197,470,,,,,,45.4717,9.1892
17660722,284,208,492,,,,,,#N/A,#N/A
ITE00100554,284,208,492,,,,,,45.4717,9.1892
17660723,251,215,466,,,,,,#N/A,#N/A
ITE00100554,251,215,466,,,,,,45.4717,9.1892
17660724,227,165,392,,,,,,#N/A,#N/A
ITE00100554,227,165,392,,,,,,45.4717,9.1892
17660725,246,170,416,,,,,,#N/A,#N/A
ITE00100554,246,170,416,,,,,,45.4717,9.1892
17660726,259,183,442,,,,,,#N/A,#N/A
ITE00100554,259,183,442,,,,,,45.4717,9.1892
17660727,272,196,468,,,,,,#N/A,#N/A
ITE00100554,272,196,468,,,,,,45.4717,9.1892
17660728,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17660729,252,190,442,,,,,,#N/A,#N/A
ITE00100554,252,190,442,,,,,,45.4717,9.1892
17660730,261,199,460,,,,,,#N/A,#N/A
ITE00100554,261,199,460,,,,,,45.4717,9.1892
17660731,282,206,488,,,,,,#N/A,#N/A
ITE00100554,282,206,488,,,,,,45.4717,9.1892
17660801,292,216,508,,,,,,#N/A,#N/A
ITE00100554,292,216,508,,,,,,45.4717,9.1892
17660802,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17660803,294,232,526,,,,,,#N/A,#N/A
ITE00100554,294,232,526,,,,,,45.4717,9.1892
17660804,297,221,518,,,,,,#N/A,#N/A
ITE00100554,297,221,518,,,,,,45.4717,9.1892
17660805,296,220,516,,,,,,#N/A,#N/A
ITE00100554,296,220,516,,,,,,45.4717,9.1892
17660806,268,232,500,,,,,,#N/A,#N/A
ITE00100554,268,232,500,,,,,,45.4717,9.1892
17660807,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17660808,271,209,480,,,,,,#N/A,#N/A
ITE00100554,271,209,480,,,,,,45.4717,9.1892
17660809,269,207,476,,,,,,#N/A,#N/A
ITE00100554,269,207,476,,,,,,45.4717,9.1892
17660810,301,225,526,,,,,,#N/A,#N/A
ITE00100554,301,225,526,,,,,,45.4717,9.1892
17660811,296,220,516,,,,,,#N/A,#N/A
ITE00100554,296,220,516,,,,,,45.4717,9.1892
17660812,258,222,480,,,,,,#N/A,#N/A
ITE00100554,258,222,480,,,,,,45.4717,9.1892
17660813,272,210,482,,,,,,#N/A,#N/A
ITE00100554,272,210,482,,,,,,45.4717,9.1892
17660814,276,200,476,,,,,,#N/A,#N/A
ITE00100554,276,200,476,,,,,,45.4717,9.1892
17660815,246,184,430,,,,,,#N/A,#N/A
ITE00100554,246,184,430,,,,,,45.4717,9.1892
17660816,218,182,400,,,,,,#N/A,#N/A
ITE00100554,218,182,400,,,,,,45.4717,9.1892
17660817,239,163,402,,,,,,#N/A,#N/A
ITE00100554,239,163,402,,,,,,45.4717,9.1892
17660818,236,160,396,,,,,,#N/A,#N/A
ITE00100554,236,160,396,,,,,,45.4717,9.1892
17660819,263,187,450,,,,,,#N/A,#N/A
ITE00100554,263,187,450,,,,,,45.4717,9.1892
17660820,267,191,458,,,,,,#N/A,#N/A
ITE00100554,267,191,458,,,,,,45.4717,9.1892
17660821,269,193,462,,,,,,#N/A,#N/A
ITE00100554,269,193,462,,,,,,45.4717,9.1892
17660822,259,197,456,,,,,,#N/A,#N/A
ITE00100554,259,197,456,,,,,,45.4717,9.1892
17660823,262,200,462,,,,,,#N/A,#N/A
ITE00100554,262,200,462,,,,,,45.4717,9.1892
17660824,261,187,448,,,,,,#N/A,#N/A
ITE00100554,261,187,448,,,,,,45.4717,9.1892
17660825,261,201,462,,,,,,#N/A,#N/A
ITE00100554,261,201,462,,,,,,45.4717,9.1892
17660826,213,179,392,,,,,,#N/A,#N/A
ITE00100554,213,179,392,,,,,,45.4717,9.1892
17660827,217,183,400,,,,,,#N/A,#N/A
ITE00100554,217,183,400,,,,,,45.4717,9.1892
17660828,245,171,416,,,,,,#N/A,#N/A
ITE00100554,245,171,416,,,,,,45.4717,9.1892
17660829,238,178,416,,,,,,#N/A,#N/A
ITE00100554,238,178,416,,,,,,45.4717,9.1892
17660830,258,184,442,,,,,,#N/A,#N/A
ITE00100554,258,184,442,,,,,,45.4717,9.1892
17660831,268,194,462,,,,,,#N/A,#N/A
ITE00100554,268,194,462,,,,,,45.4717,9.1892
17660901,265,193,458,,,,,,#N/A,#N/A
ITE00100554,265,193,458,,,,,,45.4717,9.1892
17660902,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17660903,274,202,476,,,,,,#N/A,#N/A
ITE00100554,274,202,476,,,,,,45.4717,9.1892
17660904,267,195,462,,,,,,#N/A,#N/A
ITE00100554,267,195,462,,,,,,45.4717,9.1892
17660905,257,199,456,,,,,,#N/A,#N/A
ITE00100554,257,199,456,,,,,,45.4717,9.1892
17660906,222,190,412,,,,,,#N/A,#N/A
ITE00100554,222,190,412,,,,,,45.4717,9.1892
17660907,232,200,432,,,,,,#N/A,#N/A
ITE00100554,232,200,432,,,,,,45.4717,9.1892
17660908,248,178,426,,,,,,#N/A,#N/A
ITE00100554,248,178,426,,,,,,45.4717,9.1892
17660909,222,190,412,,,,,,#N/A,#N/A
ITE00100554,222,190,412,,,,,,45.4717,9.1892
17660910,218,148,366,,,,,,#N/A,#N/A
ITE00100554,218,148,366,,,,,,45.4717,9.1892
17660911,212,156,368,,,,,,#N/A,#N/A
ITE00100554,212,156,368,,,,,,45.4717,9.1892
17660912,206,136,342,,,,,,#N/A,#N/A
ITE00100554,206,136,342,,,,,,45.4717,9.1892
17660913,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17660914,219,187,406,,,,,,#N/A,#N/A
ITE00100554,219,187,406,,,,,,45.4717,9.1892
