Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations ,Longitude Instance,Latitude Instance
17650307,83,55,138,,,,,,#N/A,#N/A
ITE00100554,83,55,138,,,,,,45.4717,9.1892
17650308,92,64,156,,,,,,#N/A,#N/A
ITE00100554,92,64,156,,,,,,45.4717,9.1892
17650309,86,44,130,,,,,,#N/A,#N/A
ITE00100554,86,44,130,,,,,,45.4717,9.1892
17650310,70,42,112,,,,,,#N/A,#N/A
ITE00100554,70,42,112,,,,,,45.4717,9.1892
17650311,80,38,118,,,,,,#N/A,#N/A
ITE00100554,80,38,118,,,,,,45.4717,9.1892
17650312,80,16,96,,,,,,#N/A,#N/A
ITE00100554,80,16,96,,,,,,45.4717,9.1892
17650313,84,54,138,,,,,,#N/A,#N/A
ITE00100554,84,54,138,,,,,,45.4717,9.1892
17650314,114,72,186,,,,,,#N/A,#N/A
ITE00100554,114,72,186,,,,,,45.4717,9.1892
17650315,118,74,192,,,,,,#N/A,#N/A
ITE00100554,118,74,192,,,,,,45.4717,9.1892
17650316,122,70,192,,,,,,#N/A,#N/A
ITE00100554,122,70,192,,,,,,45.4717,9.1892
17650317,136,84,220,,,,,,#N/A,#N/A
ITE00100554,136,84,220,,,,,,45.4717,9.1892
17650318,147,103,250,,,,,,#N/A,#N/A
ITE00100554,147,103,250,,,,,,45.4717,9.1892
17650319,153,123,276,,,,,,#N/A,#N/A
ITE00100554,153,123,276,,,,,,45.4717,9.1892
17650320,143,113,256,,,,,,#N/A,#N/A
ITE00100554,143,113,256,,,,,,45.4717,9.1892
17650321,133,67,200,,,,,,#N/A,#N/A
ITE00100554,133,67,200,,,,,,45.4717,9.1892
17650322,103,59,162,,,,,,#N/A,#N/A
ITE00100554,103,59,162,,,,,,45.4717,9.1892
17650323,114,48,162,,,,,,#N/A,#N/A
ITE00100554,114,48,162,,,,,,45.4717,9.1892
17650324,136,70,206,,,,,,#N/A,#N/A
ITE00100554,136,70,206,,,,,,45.4717,9.1892
17650325,152,98,250,,,,,,#N/A,#N/A
ITE00100554,152,98,250,,,,,,45.4717,9.1892
17650326,155,111,266,,,,,,#N/A,#N/A
ITE00100554,155,111,266,,,,,,45.4717,9.1892
17650327,150,106,256,,,,,,#N/A,#N/A
ITE00100554,150,106,256,,,,,,45.4717,9.1892
17650328,159,93,252,,,,,,#N/A,#N/A
ITE00100554,159,93,252,,,,,,45.4717,9.1892
17650329,148,94,242,,,,,,#N/A,#N/A
ITE00100554,148,94,242,,,,,,45.4717,9.1892
17650330,128,98,226,,,,,,#N/A,#N/A
ITE00100554,128,98,226,,,,,,45.4717,9.1892
17650331,147,79,226,,,,,,#N/A,#N/A
ITE00100554,147,79,226,,,,,,45.4717,9.1892
17650401,142,88,230,,,,,,#N/A,#N/A
ITE00100554,142,88,230,,,,,,45.4717,9.1892
17650402,155,87,242,,,,,,#N/A,#N/A
ITE00100554,155,87,242,,,,,,45.4717,9.1892
17650403,168,122,290,,,,,,#N/A,#N/A
ITE00100554,168,122,290,,,,,,45.4717,9.1892
17650404,169,123,292,,,,,,#N/A,#N/A
ITE00100554,169,123,292,,,,,,45.4717,9.1892
17650405,189,121,310,,,,,,#N/A,#N/A
ITE00100554,189,121,310,,,,,,45.4717,9.1892
17650406,195,127,322,,,,,,#N/A,#N/A
ITE00100554,195,127,322,,,,,,45.4717,9.1892
17650407,197,129,326,,,,,,#N/A,#N/A
ITE00100554,197,129,326,,,,,,45.4717,9.1892
17650408,186,130,316,,,,,,#N/A,#N/A
ITE00100554,186,130,316,,,,,,45.4717,9.1892
17650409,182,114,296,,,,,,#N/A,#N/A
ITE00100554,182,114,296,,,,,,45.4717,9.1892
17650410,184,128,312,,,,,,#N/A,#N/A
ITE00100554,184,128,312,,,,,,45.4717,9.1892
17650411,174,106,280,,,,,,#N/A,#N/A
ITE00100554,174,106,280,,,,,,45.4717,9.1892
17650412,128,60,188,,,,,,#N/A,#N/A
ITE00100554,128,60,188,,,,,,45.4717,9.1892
17650413,130,62,192,,,,,,#N/A,#N/A
ITE00100554,130,62,192,,,,,,45.4717,9.1892
17650414,104,72,176,,,,,,#N/A,#N/A
ITE00100554,104,72,176,,,,,,45.4717,9.1892
17650415,132,76,208,,,,,,#N/A,#N/A
ITE00100554,132,76,208,,,,,,45.4717,9.1892
17650416,147,79,226,,,,,,#N/A,#N/A
ITE00100554,147,79,226,,,,,,45.4717,9.1892
17650417,140,72,212,,,,,,#N/A,#N/A
ITE00100554,140,72,212,,,,,,45.4717,9.1892
17650418,147,91,238,,,,,,#N/A,#N/A
ITE00100554,147,91,238,,,,,,45.4717,9.1892
17650419,154,98,252,,,,,,#N/A,#N/A
ITE00100554,154,98,252,,,,,,45.4717,9.1892
17650420,142,110,252,,,,,,#N/A,#N/A
ITE00100554,142,110,252,,,,,,45.4717,9.1892
17650421,154,122,276,,,,,,#N/A,#N/A
ITE00100554,154,122,276,,,,,,45.4717,9.1892
17650422,122,90,212,,,,,,#N/A,#N/A
ITE00100554,122,90,212,,,,,,45.4717,9.1892
17650423,116,84,200,,,,,,#N/A,#N/A
ITE00100554,116,84,200,,,,,,45.4717,9.1892
17650424,127,95,222,,,,,,#N/A,#N/A
ITE00100554,127,95,222,,,,,,45.4717,9.1892
17650425,171,125,296,,,,,,#N/A,#N/A
ITE00100554,171,125,296,,,,,,45.4717,9.1892
17650426,186,130,316,,,,,,#N/A,#N/A
ITE00100554,186,130,316,,,,,,45.4717,9.1892
17650427,183,127,310,,,,,,#N/A,#N/A
ITE00100554,183,127,310,,,,,,45.4717,9.1892
17650428,191,135,326,,,,,,#N/A,#N/A
ITE00100554,191,135,326,,,,,,45.4717,9.1892
17650429,186,140,326,,,,,,#N/A,#N/A
ITE00100554,186,140,326,,,,,,45.4717,9.1892
17650430,155,123,278,,,,,,#N/A,#N/A
ITE00100554,155,123,278,,,,,,45.4717,9.1892
17650501,172,116,288,,,,,,#N/A,#N/A
ITE00100554,172,116,288,,,,,,45.4717,9.1892
17650502,147,115,262,,,,,,#N/A,#N/A
ITE00100554,147,115,262,,,,,,45.4717,9.1892
17650503,141,109,250,,,,,,#N/A,#N/A
ITE00100554,141,109,250,,,,,,45.4717,9.1892
17650504,142,110,252,,,,,,#N/A,#N/A
ITE00100554,142,110,252,,,,,,45.4717,9.1892
17650505,167,99,266,,,,,,#N/A,#N/A
ITE00100554,167,99,266,,,,,,45.4717,9.1892
17650506,190,122,312,,,,,,#N/A,#N/A
ITE00100554,190,122,312,,,,,,45.4717,9.1892
17650507,194,126,320,,,,,,#N/A,#N/A
ITE00100554,194,126,320,,,,,,45.4717,9.1892
17650508,210,142,352,,,,,,#N/A,#N/A
ITE00100554,210,142,352,,,,,,45.4717,9.1892
17650509,206,150,356,,,,,,#N/A,#N/A
ITE00100554,206,150,356,,,,,,45.4717,9.1892
17650510,215,147,362,,,,,,#N/A,#N/A
ITE00100554,215,147,362,,,,,,45.4717,9.1892
17650511,219,163,382,,,,,,#N/A,#N/A
ITE00100554,219,163,382,,,,,,45.4717,9.1892
17650512,207,161,368,,,,,,#N/A,#N/A
ITE00100554,207,161,368,,,,,,45.4717,9.1892
17650513,216,160,376,,,,,,#N/A,#N/A
ITE00100554,216,160,376,,,,,,45.4717,9.1892
17650514,223,167,390,,,,,,#N/A,#N/A
ITE00100554,223,167,390,,,,,,45.4717,9.1892
17650515,170,138,308,,,,,,#N/A,#N/A
ITE00100554,170,138,308,,,,,,45.4717,9.1892
17650516,135,103,238,,,,,,#N/A,#N/A
ITE00100554,135,103,238,,,,,,45.4717,9.1892
17650517,177,131,308,,,,,,#N/A,#N/A
ITE00100554,177,131,308,,,,,,45.4717,9.1892
17650518,186,154,340,,,,,,#N/A,#N/A
ITE00100554,186,154,340,,,,,,45.4717,9.1892
17650519,197,165,362,,,,,,#N/A,#N/A
ITE00100554,197,165,362,,,,,,45.4717,9.1892
17650520,185,153,338,,,,,,#N/A,#N/A
ITE00100554,185,153,338,,,,,,45.4717,9.1892
17650521,199,153,352,,,,,,#N/A,#N/A
ITE00100554,199,153,352,,,,,,45.4717,9.1892
17650522,216,160,376,,,,,,#N/A,#N/A
ITE00100554,216,160,376,,,,,,45.4717,9.1892
17650523,191,159,350,,,,,,#N/A,#N/A
ITE00100554,191,159,350,,,,,,45.4717,9.1892
17650524,223,153,376,,,,,,#N/A,#N/A
ITE00100554,223,153,376,,,,,,45.4717,9.1892
17650525,235,165,400,,,,,,#N/A,#N/A
ITE00100554,235,165,400,,,,,,45.4717,9.1892
17650526,214,144,358,,,,,,#N/A,#N/A
ITE00100554,214,144,358,,,,,,45.4717,9.1892
17650527,222,166,388,,,,,,#N/A,#N/A
ITE00100554,222,166,388,,,,,,45.4717,9.1892
17650528,222,166,388,,,,,,#N/A,#N/A
ITE00100554,222,166,388,,,,,,45.4717,9.1892
17650529,180,148,328,,,,,,#N/A,#N/A
ITE00100554,180,148,328,,,,,,45.4717,9.1892
17650530,211,165,376,,,,,,#N/A,#N/A
ITE00100554,211,165,376,,,,,,45.4717,9.1892
17650531,213,155,368,,,,,,#N/A,#N/A
ITE00100554,213,155,368,,,,,,45.4717,9.1892
17650601,181,149,330,,,,,,#N/A,#N/A
ITE00100554,181,149,330,,,,,,45.4717,9.1892
17650602,210,178,388,,,,,,#N/A,#N/A
ITE00100554,210,178,388,,,,,,45.4717,9.1892
17650603,233,175,408,,,,,,#N/A,#N/A
ITE00100554,233,175,408,,,,,,45.4717,9.1892
17650604,204,172,376,,,,,,#N/A,#N/A
ITE00100554,204,172,376,,,,,,45.4717,9.1892
17650605,194,162,356,,,,,,#N/A,#N/A
ITE00100554,194,162,356,,,,,,45.4717,9.1892
17650606,213,155,368,,,,,,#N/A,#N/A
ITE00100554,213,155,368,,,,,,45.4717,9.1892
17650607,254,184,438,,,,,,#N/A,#N/A
ITE00100554,254,184,438,,,,,,45.4717,9.1892
17650608,256,186,442,,,,,,#N/A,#N/A
ITE00100554,256,186,442,,,,,,45.4717,9.1892
17650609,250,192,442,,,,,,#N/A,#N/A
ITE00100554,250,192,442,,,,,,45.4717,9.1892
17650610,248,190,438,,,,,,#N/A,#N/A
ITE00100554,248,190,438,,,,,,45.4717,9.1892
17650611,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17650612,279,221,500,,,,,,#N/A,#N/A
ITE00100554,279,221,500,,,,,,45.4717,9.1892
17650613,258,210,468,,,,,,#N/A,#N/A
ITE00100554,258,210,468,,,,,,45.4717,9.1892
17650614,247,199,446,,,,,,#N/A,#N/A
ITE00100554,247,199,446,,,,,,45.4717,9.1892
17650615,280,208,488,,,,,,#N/A,#N/A
ITE00100554,280,208,488,,,,,,45.4717,9.1892
17650616,292,220,512,,,,,,#N/A,#N/A
ITE00100554,292,220,512,,,,,,45.4717,9.1892
17650617,280,208,488,,,,,,#N/A,#N/A
ITE00100554,280,208,488,,,,,,45.4717,9.1892
17650618,258,210,468,,,,,,#N/A,#N/A
ITE00100554,258,210,468,,,,,,45.4717,9.1892
17650619,260,212,472,,,,,,#N/A,#N/A
ITE00100554,260,212,472,,,,,,45.4717,9.1892
17650620,256,222,478,,,,,,#N/A,#N/A
ITE00100554,256,222,478,,,,,,45.4717,9.1892
17650621,223,189,412,,,,,,#N/A,#N/A
ITE00100554,223,189,412,,,,,,45.4717,9.1892
17650622,245,197,442,,,,,,#N/A,#N/A
ITE00100554,245,197,442,,,,,,45.4717,9.1892
17650623,257,185,442,,,,,,#N/A,#N/A
ITE00100554,257,185,442,,,,,,45.4717,9.1892
17650624,261,189,450,,,,,,#N/A,#N/A
ITE00100554,261,189,450,,,,,,45.4717,9.1892
17650625,270,198,468,,,,,,#N/A,#N/A
ITE00100554,270,198,468,,,,,,45.4717,9.1892
17650626,234,184,418,,,,,,#N/A,#N/A
ITE00100554,234,184,418,,,,,,45.4717,9.1892
17650627,220,160,380,,,,,,#N/A,#N/A
ITE00100554,220,160,380,,,,,,45.4717,9.1892
17650628,249,189,438,,,,,,#N/A,#N/A
ITE00100554,249,189,438,,,,,,45.4717,9.1892
17650629,205,171,376,,,,,,#N/A,#N/A
ITE00100554,205,171,376,,,,,,45.4717,9.1892
17650630,183,149,332,,,,,,#N/A,#N/A
ITE00100554,183,149,332,,,,,,45.4717,9.1892
17650701,225,151,376,,,,,,#N/A,#N/A
ITE00100554,225,151,376,,,,,,45.4717,9.1892
17650702,205,171,376,,,,,,#N/A,#N/A
ITE00100554,205,171,376,,,,,,45.4717,9.1892
17650703,220,160,380,,,,,,#N/A,#N/A
ITE00100554,220,160,380,,,,,,45.4717,9.1892
17650704,246,172,418,,,,,,#N/A,#N/A
ITE00100554,246,172,418,,,,,,45.4717,9.1892
17650705,217,183,400,,,,,,#N/A,#N/A
ITE00100554,217,183,400,,,,,,45.4717,9.1892
17650706,266,192,458,,,,,,#N/A,#N/A
ITE00100554,266,192,458,,,,,,45.4717,9.1892
17650707,268,208,476,,,,,,#N/A,#N/A
ITE00100554,268,208,476,,,,,,45.4717,9.1892
17650708,286,212,498,,,,,,#N/A,#N/A
ITE00100554,286,212,498,,,,,,45.4717,9.1892
17650709,274,212,486,,,,,,#N/A,#N/A
ITE00100554,274,212,486,,,,,,45.4717,9.1892
17650710,265,203,468,,,,,,#N/A,#N/A
ITE00100554,265,203,468,,,,,,45.4717,9.1892
17650711,237,175,412,,,,,,#N/A,#N/A
ITE00100554,237,175,412,,,,,,45.4717,9.1892
17650712,261,185,446,,,,,,#N/A,#N/A
ITE00100554,261,185,446,,,,,,45.4717,9.1892
17650713,262,200,462,,,,,,#N/A,#N/A
ITE00100554,262,200,462,,,,,,45.4717,9.1892
17650714,225,191,416,,,,,,#N/A,#N/A
ITE00100554,225,191,416,,,,,,45.4717,9.1892
17650715,231,181,412,,,,,,#N/A,#N/A
ITE00100554,231,181,412,,,,,,45.4717,9.1892
17650716,228,192,420,,,,,,#N/A,#N/A
ITE00100554,228,192,420,,,,,,45.4717,9.1892
17650717,241,179,420,,,,,,#N/A,#N/A
ITE00100554,241,179,420,,,,,,45.4717,9.1892
17650718,193,157,350,,,,,,#N/A,#N/A
ITE00100554,193,157,350,,,,,,45.4717,9.1892
17650719,238,162,400,,,,,,#N/A,#N/A
ITE00100554,238,162,400,,,,,,45.4717,9.1892
17650720,207,145,352,,,,,,#N/A,#N/A
ITE00100554,207,145,352,,,,,,45.4717,9.1892
17650721,227,165,392,,,,,,#N/A,#N/A
ITE00100554,227,165,392,,,,,,45.4717,9.1892
17650722,218,182,400,,,,,,#N/A,#N/A
ITE00100554,218,182,400,,,,,,45.4717,9.1892
17650723,233,197,430,,,,,,#N/A,#N/A
ITE00100554,233,197,430,,,,,,45.4717,9.1892
17650724,245,193,438,,,,,,#N/A,#N/A
ITE00100554,245,193,438,,,,,,45.4717,9.1892
17650725,242,180,422,,,,,,#N/A,#N/A
ITE00100554,242,180,422,,,,,,45.4717,9.1892
17650726,218,182,400,,,,,,#N/A,#N/A
ITE00100554,218,182,400,,,,,,45.4717,9.1892
17650727,246,184,430,,,,,,#N/A,#N/A
ITE00100554,246,184,430,,,,,,45.4717,9.1892
17650728,187,151,338,,,,,,#N/A,#N/A
ITE00100554,187,151,338,,,,,,45.4717,9.1892
17650729,215,163,378,,,,,,#N/A,#N/A
ITE00100554,215,163,378,,,,,,45.4717,9.1892
17650730,237,175,412,,,,,,#N/A,#N/A
ITE00100554,237,175,412,,,,,,45.4717,9.1892
17650731,239,163,402,,,,,,#N/A,#N/A
ITE00100554,239,163,402,,,,,,45.4717,9.1892
17650801,259,183,442,,,,,,#N/A,#N/A
ITE00100554,259,183,442,,,,,,45.4717,9.1892
17650802,271,195,466,,,,,,#N/A,#N/A
ITE00100554,271,195,466,,,,,,45.4717,9.1892
17650803,231,195,426,,,,,,#N/A,#N/A
ITE00100554,231,195,426,,,,,,45.4717,9.1892
17650804,237,175,412,,,,,,#N/A,#N/A
ITE00100554,237,175,412,,,,,,45.4717,9.1892
17650805,213,177,390,,,,,,#N/A,#N/A
ITE00100554,213,177,390,,,,,,45.4717,9.1892
17650806,239,163,402,,,,,,#N/A,#N/A
ITE00100554,239,163,402,,,,,,45.4717,9.1892
17650807,242,166,408,,,,,,#N/A,#N/A
ITE00100554,242,166,408,,,,,,45.4717,9.1892
17650808,253,177,430,,,,,,#N/A,#N/A
ITE00100554,253,177,430,,,,,,45.4717,9.1892
17650809,262,200,462,,,,,,#N/A,#N/A
ITE00100554,262,200,462,,,,,,45.4717,9.1892
17650810,266,204,470,,,,,,#N/A,#N/A
ITE00100554,266,204,470,,,,,,45.4717,9.1892
17650811,257,181,438,,,,,,#N/A,#N/A
ITE00100554,257,181,438,,,,,,45.4717,9.1892
17650812,241,179,420,,,,,,#N/A,#N/A
ITE00100554,241,179,420,,,,,,45.4717,9.1892
17650813,206,170,376,,,,,,#N/A,#N/A
ITE00100554,206,170,376,,,,,,45.4717,9.1892
17650814,244,182,426,,,,,,#N/A,#N/A
ITE00100554,244,182,426,,,,,,45.4717,9.1892
17650815,237,175,412,,,,,,#N/A,#N/A
ITE00100554,237,175,412,,,,,,45.4717,9.1892
17650816,248,212,460,,,,,,#N/A,#N/A
ITE00100554,248,212,460,,,,,,45.4717,9.1892
17650817,212,176,388,,,,,,#N/A,#N/A
ITE00100554,212,176,388,,,,,,45.4717,9.1892
17650818,224,174,398,,,,,,#N/A,#N/A
ITE00100554,224,174,398,,,,,,45.4717,9.1892
17650819,229,153,382,,,,,,#N/A,#N/A
ITE00100554,229,153,382,,,,,,45.4717,9.1892
17650820,244,182,426,,,,,,#N/A,#N/A
ITE00100554,244,182,426,,,,,,45.4717,9.1892
17650821,240,178,418,,,,,,#N/A,#N/A
ITE00100554,240,178,418,,,,,,45.4717,9.1892
17650822,241,165,406,,,,,,#N/A,#N/A
ITE00100554,241,165,406,,,,,,45.4717,9.1892
17650823,251,177,428,,,,,,#N/A,#N/A
ITE00100554,251,177,428,,,,,,45.4717,9.1892
17650824,263,189,452,,,,,,#N/A,#N/A
ITE00100554,263,189,452,,,,,,45.4717,9.1892
17650825,266,192,458,,,,,,#N/A,#N/A
ITE00100554,266,192,458,,,,,,45.4717,9.1892
17650826,278,204,482,,,,,,#N/A,#N/A
ITE00100554,278,204,482,,,,,,45.4717,9.1892
17650827,263,229,492,,,,,,#N/A,#N/A
ITE00100554,263,229,492,,,,,,45.4717,9.1892
17650828,264,204,468,,,,,,#N/A,#N/A
ITE00100554,264,204,468,,,,,,45.4717,9.1892
17650829,278,204,482,,,,,,#N/A,#N/A
ITE00100554,278,204,482,,,,,,45.4717,9.1892
17650830,263,229,492,,,,,,#N/A,#N/A
ITE00100554,263,229,492,,,,,,45.4717,9.1892
17650831,250,176,426,,,,,,#N/A,#N/A
ITE00100554,250,176,426,,,,,,45.4717,9.1892
17650901,251,179,430,,,,,,#N/A,#N/A
ITE00100554,251,179,430,,,,,,45.4717,9.1892
17650902,256,184,440,,,,,,#N/A,#N/A
ITE00100554,256,184,440,,,,,,45.4717,9.1892
17650903,232,160,392,,,,,,#N/A,#N/A
ITE00100554,232,160,392,,,,,,45.4717,9.1892
17650904,234,162,396,,,,,,#N/A,#N/A
ITE00100554,234,162,396,,,,,,45.4717,9.1892
17650905,239,167,406,,,,,,#N/A,#N/A
ITE00100554,239,167,406,,,,,,45.4717,9.1892
17650906,247,175,422,,,,,,#N/A,#N/A
ITE00100554,247,175,422,,,,,,45.4717,9.1892
17650907,250,180,430,,,,,,#N/A,#N/A
ITE00100554,250,180,430,,,,,,45.4717,9.1892
17650908,256,186,442,,,,,,#N/A,#N/A
ITE00100554,256,186,442,,,,,,45.4717,9.1892
17650909,263,193,456,,,,,,#N/A,#N/A
ITE00100554,263,193,456,,,,,,45.4717,9.1892
17650910,261,191,452,,,,,,#N/A,#N/A
ITE00100554,261,191,452,,,,,,45.4717,9.1892
17650911,248,178,426,,,,,,#N/A,#N/A
ITE00100554,248,178,426,,,,,,45.4717,9.1892
17650912,231,161,392,,,,,,#N/A,#N/A
ITE00100554,231,161,392,,,,,,45.4717,9.1892
17650913,229,161,390,,,,,,#N/A,#N/A
ITE00100554,229,161,390,,,,,,45.4717,9.1892
17650914,228,160,388,,,,,,#N/A,#N/A
ITE00100554,228,160,388,,,,,,45.4717,9.1892
17650915,213,157,370,,,,,,#N/A,#N/A
ITE00100554,213,157,370,,,,,,45.4717,9.1892
17650916,218,150,368,,,,,,#N/A,#N/A
ITE00100554,218,150,368,,,,,,45.4717,9.1892
17650917,212,144,356,,,,,,#N/A,#N/A
ITE00100554,212,144,356,,,,,,45.4717,9.1892
17650918,222,178,400,,,,,,#N/A,#N/A
